title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
“劳动对象” 而非“劳动者”——受众注意力活动的政治经济学批判,T Wang,,0,"… 广告商支撑的大众传媒 体系中,传媒生产的真正商品不是内容——内容不过是“免费午餐”——而是受众… 受众的 观看时间被媒介公司打包,计量并出售给广告商.斯迈兹的洞见在于将“传播”从上层…",mkuUsJySAoMJ,T Wang - philpapers.org,[],https://philpapers.org/rec/WANJXP,unknown,unknown
从“流量追逐” 到“心理调适”: 注意力经济对大学生价值观塑造的冲击与重构,罗雅匀,2025.0,0,"… ,注意力经济的典型特征正是通过视觉途径,引导受众观看“免费内容”,致使大学生受众的注意力资源… 转化,如承接剧情的后续内容观看收费,广告的投入变现等,从而使平台获取的经济收益远高于其…",HQRWZ7dmnDUJ,"罗雅匀 - Advances in Psychology, 2025 - hanspub.org",[],https://www.hanspub.org/journal/paperinformation?paperID=112360,unknown,unknown
付费新闻产品开发路径探析,齐爱军， 韩德勋,2020.0,0,"… 然而,当前新闻报道同类免费内容大量存在,平台媒体主导传播… 是在确定公众注意力的方向,使人们都注意到正在发生的事情.” … 吸引广告 商往往倾向于丰富新闻报道以覆盖更多的受众,内容缺乏…",6eLiAlp-Ax8J,"齐爱军， 韩德勋 - 新闻与传播评论, 2020 - journal.whu.edu.cn",[],http://journal.whu.edu.cn/uploadfiles/jcr2020no3/20200515fxt1p_8210.pdf,unknown,unknown
注意力争夺与平台内竞争(Battle for Attention and Intra-platform Competition),"J Huang, Z Sun, Y Wang, Y Wang",2024.0,0,"… 与平台内竞争,注意力经济和数字市场的流量博弈三方面文献进行对话,同时 丰富了对电子商务,广告和搜索等行业的经济分析… 一些看似“免费”的商业模式实则让消 费者付出了不菲的注意力成本(…",yJGZb_eycYwJ,"J Huang, Z Sun, Y Wang, Y Wang - 2024 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4778713,unknown,unknown
平台型营销: 数智时代电视媒体营销转型研究,曲诗语,2024.0,0,"… 平台,以增值服务及新广告营收成为新营销模式,为大众提供免费的… 与经济效益的双重“失血”.电视致力于影像叙事的耕耘,以思想深刻,… 眼前的注意力困境,以此改变内容的呈现方式并拓宽受众接受…",6q4aFsFFw6EJ,"曲诗语 - E-Commerce Letters, 2024 - hanspub.org",[],https://www.hanspub.org/journal/paperinformation?paperID=93397,unknown,unknown
内容营销作为媒体品牌推广工具,ЕА Баранова,2025.0,0,… 缺乏可视化的长篇文本不再能吸引信息消费者的注意力。随着社交… 内容营销是通过免费分发满足用户需求的有用内容来成功推广… 网站访问量并吸引大众受众，从而提升广告板块价值，促进企业…,fLLyF6vBRCgJ,"ЕА Баранова - Litera, 2025 - cn.nbpublish.com",[],https://cn.nbpublish.com/library_read_article.php?id=69694,unknown,unknown
TikTok 平台跨境电商的战略分析,夏依琳， 赵云双,2024.0,3,"… 广告则是指TikTok将用户生成的内容进行广告 化,通过与广告主… 一策略并未持续太久;第二次是免费流量 带货,但这比短视频带货… 的目标受众和潜在市场.未来,TikTok仍将面临 诸多挑战和机遇. …",zfphh6V_YDwJ,"夏依琳， 赵云双 - 商展经济, 2024 - qdatis.com",[],http://www.qdatis.com/files/20240709/38c692b027d214eed736716145b06799.pdf,unknown,unknown
从传媒商业模式看央视春晚摇微信抢红包,唐敏敏,2016.0,0,,aDHlBHb8D-kJ,"唐敏敏 - 数字传媒研究, 2016",[],,unknown,unknown
参与的激励: 数字媒体广告传播中的受众行为管理,韩文静,2014.0,10,,8vE2SxEJDs8J,"韩文静 - 广告大观: 理论版, 2014",[],,unknown,unknown
"网络文学IP 热的成因, 本质及影响——一种“注意力经济” 的解释视角",闫伟华,2016.0,1,,Ivz4_cxAsXkJ,"闫伟华 - 中国出版, 2016",[],,unknown,unknown
