title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Applying information technology to organization design,HA Simon,1973.0,789,"… (though I believe it does), will give us a fresh look at the design of organizations. … about the design of information-processing systems for organizations applies fully to the design of the …",tkjmDQn6iDwJ,"HA Simon - Public administration review, 1973 - JSTOR",[],https://www.jstor.org/stable/974804,unknown,unknown
The attention economy,"TH Davenport, JC Beck",2001.0,3589,"… Can we focus organizational attention and stretch the organizational attention span when we need to? … As Herbert Simon, a Nobel prize winning economist, put it, ""What …",JUUZwQO_XO4J,"TH Davenport, JC Beck - Ubiquity, 2001 - dl.acm.org",[],https://dl.acm.org/doi/fullHtml/10.1145/376625.376626,unknown,unknown
Rethinking the cognitive foundations of the attention economy,J Bruineberg,2025.0,16,… The first aim is expositional: I aim to explicate the set of assumptions that underlie Simon’s conceptualization of attention and information. I will argue that the coherence of …,s0EoX5me3FsJ,"J Bruineberg - Philosophical Psychology, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09515089.2025.2502428,unknown,unknown
"Old wine in new bottles: docility, attention scarcity and knowledge management",CJ McMillan,2016.0,24,"… Design/methodology/approach – This paper examines knowledge organizations from the perspective of … Simon introduced this new concept, docility, which is now central to knowledge …",eIvfv4NSbnUJ,"CJ McMillan - Journal of Knowledge Management, 2016 - emerald.com",[],https://www.emerald.com/jkm/article/20/6/1353/261018,unknown,unknown
Levers of organization design: How managers use accountability systems for greater performance and commitment,R Simons,2005.0,558,… that organization design is the most important determinant of success for implementing strategy in a large organization. I … Simon identified human attention as a critical variable in the de- …,CV_ZdelfuzgJ,R Simons - 2005 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=bsSkVB7OQJ0C&oi=fnd&pg=PR7&dq=Simon+designing+organizations+wealth+of+information+poverty+of+attention&ots=0ZkIHwJtm-&sig=2Z78Q2bAoC-KDa0oxKmR4zZKaBg,unknown,unknown
A wealth of information creates a poverty of attention.,"H Simon, JAY BLUMLER…",2016.0,2,"… In the modern age, unwanted information is buried in an informational … Simon is quoted in the beginning of this chapter,“A wealth of information creates a poverty of attention""(Simon …",e0AbAxIWzbEJ,"H Simon, JAY BLUMLER… - The Digital Difference …, 2016 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=AWm2DAAAQBAJ&oi=fnd&pg=PA98&dq=Simon+designing+organizations+wealth+of+information+poverty+of+attention&ots=AGHGdtJWew&sig=PZ4T0BiV5Ks-kJBtG8UcniZOAaU,unknown,unknown
Information technologies and organizations,HA Simon,1990.0,97,… we should not think of designing organizations so that everybody speaks to everybody. There are good reasons why we use nesting-block designs of units within units of organizations. …,C3nZIy54kKcJ,"HA Simon - Accounting Review, 1990 - JSTOR",[],https://www.jstor.org/stable/247955,unknown,unknown
Designing Organizations for an Information Rich World,SHASR King,1997.0,1,… I think Simon himself is one of the people who is very likely to contribute … Simon's paper. I believe there are four major contributions: 1. the economy of attention is itself put into the focus …,5uxybgty9M0J,"SHASR King - … of Communication and Information …, 1997 - toolkit.bot-partners.com",[],https://toolkit.bot-partners.com/uvaga/Simon-1971-UA-EN.pdf,unknown,unknown
… information consumes. What information consumes is rather obvious: it consumes the attention of its recipients. Hence a wealth of information creates a poverty …,HA Simon,,0,"… As Herbert Simon noted, the ability to allocate attention efficiently among a plethora of information is critical. In this thesis, we focus on how to optimise information search for making a …",1CqSvDnn1OYJ,HA Simon - Playing favourites: Investigating Information Search … - theses.hal.science,[],https://theses.hal.science/tel-05509411/document#page=11,unknown,unknown
Towards a grey ecology,"S Broadbent, C Lobet-Maris",2014.0,38,"… Simon had already suggested that … in an information-rich world, the wealth of information means a dearth of something else: a scarcity of whatever it is that information consumes. …",vEI00CUkehQJ,"S Broadbent, C Lobet-Maris - … Onlife Manifesto: Being Human in a …, 2014 - library.oapen.org",[],https://library.oapen.org/bitstream/handle/20.500.12657/28025/1001971.pdf?sequence#page=111,unknown,unknown
