title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Dallas Smythe “Communications: Blindspot of Western Marxism”,F Stiernstedt,2024.0,0,"… , many have turned to Smythe and to the discussion of the audience commodity and of the “work… As a result, the whole so-called “Blindspot debate” has been given a new lease of life in …",ktRIBXtpNUMJ,"F Stiernstedt - Classics in Media Theory, 2024 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003432272-16&type=chapterpdf,unknown,unknown
"Objects of Labor, Not Laborers: A Political Economy Critique of Audience Attention Activities",T Wang,,0,… communication tradition— from Smythe to Fuchs—has persistently asked whether audience … online activities produce “audience commodities” and “data commodities” which are …,dtXO1CEycfoJ,T Wang - philpapers.org,[],https://philpapers.org/rec/WANOOL,unknown,unknown
Platformized childhood: How app stores construct children's software audiences through platform governance and industry lore,"K Zavala Barreda, S Milan",2025.0,5,"… Drawing on platform studies, critical childhood studies, and the concept of audience commodity, … According to Smythe, audiences become commodities broadcasters (and, by extension, …",I0Ux3d3XhYkJ,"K Zavala Barreda, S Milan - Media, Culture & Society, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/01634437251328194,unknown,unknown
Political economy approaches to advertising,J Hardy,2014.0,12,… Smythe’s audience commodity concept has renewed relevance in contemporary CPE stu… the case of corporate social media the audience commodity is an Internet prosumer commodity. …,AtbRyzQO60UJ,"J Hardy - Advertising, 2014 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203393147-5&type=chapterpdf,unknown,unknown
Free-to-play games and app advertising: The rise of the player commodity,DB Nieborg,2016.0,81,… Smythe’s (1977) conceptualization of the “audience commodity” to introduce the concept of the player commodity… the audience commodity visible by translating “viewers into a verifiable …,7qKAygJMOLcJ,"DB Nieborg - Explorations in critical studies of advertising, 2016 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9781315625768-9/free-play-games-app-advertising-rise-player-commodity-david-nieborg,unknown,unknown
"Fifty years of Super Bowl commercials, thirty-two years of spectacular consumption","MP McAllister, E Galindo-Ramirez",2017.0,34,"… Smythe’s concept of the ‘audience commodity… Smythe theorized the role of the audience in advertising-supported media content, arguing that the audience serves as the key commodity …",qQY7_hHTRIYJ,"MP McAllister, E Galindo-Ramirez - … Journal of the History of Sport, 2017 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09523367.2017.1336162,unknown,unknown
Digital audiences disempowerment: Participation or free labour,"L Vesnić-Alujević, MF Murru",2016.0,30,"… the audience commodity to advertisers (Smythe, 1994). In this way, both media and audience … ‘Mobilizing the audience commodity: Digital labour in a wireless world’, ephemera 10(3/4), …",ICX_o4-WB_cJ,"L Vesnić-Alujević, MF Murru - … Audience and Reception Studies, 2016 - researchgate.net",[],https://www.researchgate.net/profile/Lucia-Vesnic-Alujevic-2/publication/303438089_Digital_audiences'_disempowerment_Participation_or_free_labour/links/5742fecd08aea45ee84a75e0/Digital-audiences-disempowerment-Participation-or-free-labour.pdf,unknown,unknown
From Networked Sociability to Net-Worker Commodity,ML Stazio,2010.0,0,"… Dallas Smythe (1977; 1981) has termed the audience commodity. According to Smythe, «because audience … and consumed, it commands a price and is a commodity» (1981: 26). But …",NG-7sW2avVoJ,"ML Stazio - ESA Research Network Sociology of Culture Midterm …, 2010 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1692815,unknown,unknown
Beyond voice: audience-making and the work and architecture of listening as new media literacies,J Macnamara,2013.0,161,… The importance of audience-making was highlighted in the late 1970s by Smythe in what became known as the ‘blindspot debate’ in which Smythe argued that the ideologies of critical …,AskRpW0TAiAJ,"J Macnamara - Continuum, 2013 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/10304312.2013.736950,unknown,unknown
The Exploitation of Audience as Digital Labour in Indonesian Youtube Platform,"SN Febriyanti, R Ida, N Susan",2021.0,8,… that the renewal of the Smythe concept related to the sale of the audience (or referred to as … that exist in Smythe's original theory and other audience commodities research. Retrieval of …,RpUjHhAeKN0J,"SN Febriyanti, R Ida, N Susan - Profetik: Jurnal Komunikasi, 2021 - ejournal.uin-suka.ac.id",[],https://ejournal.uin-suka.ac.id/isoshum/index.php/profetik/article/view/1876,unknown,unknown
