title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
原始交换与市场起源问题研究述略,万红,2003,3,"… 思考人类社会较早时期 的交换形式,以及礼物交换的本质,社会功能… 莫斯的“互惠 性原理”对后来的人类学有很大影响,甚至列维- 斯特… 在萨林斯看来,原始社会中社会地 位的高低,反而以经济平等的…",UmFfdF3J2-cJ,"万红 - 世界民族, 2003 - ilas.cssn.cn",[],http://ilas.cssn.cn/webpic/web/ilas/manager/jeditor/UploadFile/201097103451539.pdf,unknown,unknown
礼物交换:“崇高主题” 还是“支配策略”?,刘拥华,2010,25,"… ·列维-斯特劳斯(Claude Levi-strauss)和70 年代的马歇尔·萨林斯(… 林诺夫 斯基是使用互惠原则而不是莫斯的“礼物之灵” 解释礼物… 在莫斯的意图中,对原始 社会礼物的研究还直接指向对现代社会…",5Xgewiga7SQJ,"刘拥华 - 社会学研究, 2010 - sociology.cssn.cn",[],http://sociology.cssn.cn/webpic/web/sociology/upload/2010/11/d20101109103907672.pdf,unknown,unknown
文化经济人类学的基石——读萨林斯《 石器时代经济学》,黄雅雯,2013,0,,WE4U6km-_XkJ,"黄雅雯 - 西北民族研究, 2013",[],,unknown,unknown
从“理性人” 到“文化人”——读马歇尔· 萨林斯的几本著作,翟淑平,2013,1,,jd9TR-5kYSUJ,"翟淑平 - 西北民族研究, 2013",[],,unknown,unknown
萨林斯的学术思想及其源流,曹大明,2013,1,,J85-j0-QuqAJ,"曹大明 - 世界民族, 2013",[],,unknown,unknown
礼物交换与佛教经济学——一个西藏“寺院-村落” 共同体的互惠与团结,王玥玮,2015,0,,TepCiGvcsKQJ,"王玥玮 - 青海民族大学学报: 社会科学版, 2015",[],,unknown,unknown
礼物与互惠研究综述,董敬畏,2010,0,,PLvsl-_2WkkJ,"董敬畏 - 山东理工大学学报: 社会科学版, 2010",[],,unknown,unknown
石器时代的文化与理性——评《 石器时代经济学》,李若慧,2013,0,,-IQPsl2wWrQJ,"李若慧 - 贵州师范学院学报, 2013",[],,unknown,unknown
人类学视野中的礼物世界,王俊杰,2007,3,,zzbSvzta79sJ,"王俊杰 - 云南民族大学学报(哲学社会科学版), 2007",[],,unknown,unknown
实践理性抑或象征理性--萨林斯对形式主义知识体系的解构与反思,马良灿,2013,1,,kdbVLLvmUHkJ,"马良灿 - 社会科学, 2013",[],,unknown,unknown
