title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
论中国社区精神,刘建军,2021.0,2,"… 它把人的尊严变成了交换价值,用一种没有良心的贸易自由代替… 涂尔干,齐美尔,滕尼斯和韦伯———都认为,个人 主义,流动性和… 向陌生 人社会转化,以及通过非人格化的国家机器对陌生人社会…",4KNGow75iGwJ,"刘建军 - 《 广西师范大学学报》(哲学社会科学版), 2021 - gxss.magtech.com.cn",[],http://gxss.magtech.com.cn/CN/abstract/abstract1730.shtml,unknown,unknown
论《 资本论》 对资产阶级经济学的批判及其现实指导价值,何干强,,0,"… ,商品交换关系的明显特点,正在于抽去商品的使用价值,“只要交换… 出版的一本匿名小册子《国民困难的原因及其解决办法.致约翰·… 独立化和硬化,把这种物的人格化和生产关系的物化,把日常生活…",Z_9fQ_D7CMMJ,何干强 - 当代经济研究 - ddjjyj.com,[],http://www.ddjjyj.com/CN/article/downloadArticleFile.do?attachType=PDF&id=1889,unknown,unknown
_ 粹_ 系: 网_ 分享_ 代的社_ 交住,_ 向 _,2018.0,0,"… 本书研究的是基于媒介发生的非正式 性的仪式和日常生活人们之间如何在媒介交往中形成互动… 话,有些媒介如电视则在运用摄影镜头时有模拟人格化的倾向,电视如 同身体的反馈,会把仪式中…",vf-_9adp9BkJ,_ 向 _ - 2018 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=jNZKDwAAQBAJ&oi=fnd&pg=PA2&dq=%E9%BD%90%E7%BE%8E%E5%B0%94+%E8%B4%A7%E5%B8%81%E5%93%B2%E5%AD%A6+%E5%8C%BF%E5%90%8D%E6%80%A7+%E9%9D%9E%E4%BA%BA%E6%A0%BC%E5%8C%96+%E4%BA%A4%E6%8D%A2&ots=1KSC-lWR6I&sig=c56L7btWRkMCQFVtcc5pKFwu5oA,unknown,unknown
礼物交换作为宗教生活的基本形式,Z Ji,2009.0,47,"… ②,涂尔干将哲学与科学,社会与自然联系起来了.这是因为, 人的“… 西美尔甚至像莫斯一样批评说,在实行功利性等价交换的现代货币… 但加叶暗示,现代性的到临意味着礼物关系受到了非人格化的…",K6wHR0Z2Qy8J,"Z Ji - 社会学研究, 2009 - shs.hal.science",[],https://shs.hal.science/halshs-00402240/,unknown,unknown
一般人格权: 观念转型与制度重构,许可， 梅夏英,2014.0,3,"… 生活关系发生了重大变革, 市场交换的渗透使古典经济学家 从自… 而货币, 恰如齐美尔所发现的, 以无质量性, 无差别 的最纯形式… 中, 主体最终成为能够用货币衡量的财产的人格化体现, 并以财产…",Ak7oDbvDhAoJ,"许可， 梅夏英 - 法制与社会发展, 2014 - civillaw.com.cn",[],http://www.civillaw.com.cn/uploadfile/lmpic/20161208/20161208212620856.pdf,unknown,unknown
Gift Exchange as an Elementary Form of Religious Life JI Zhe,王steven,,0,"… ,涂尔干将哲学与科学,社会与自然联系起来了.这是因为, 人的“… 西美尔甚至像莫斯一样批评说,在实行功利性等价交换的现代货币… 但加叶暗示,现代性的到临意味着礼物关系受到了非人格化的社会…",2lEl8eYN1fYJ,王steven - academia.edu,[],https://www.academia.edu/download/51674479/Gift_Exchange_as_an_Elementary_Form_of_Religious_Life_JI_Zhe.pdf,unknown,unknown
学生信任何以可能———以社会资本理论为视角.,刁益虎,1673.0,1,"… 自从齐美尔(GeorgSimmel)在《货币哲学》中开启对信任现象的… 换言之,经济交换的报偿是货币以及经济地位,而社会交换 的报偿… 工具理性宰制下的学校组织轻忽人类的情感基因,对非人格化的…",v3Bz7wiLeb8J,"刁益虎 - Journal of Educational Studies (1673-1298), 2022 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:158821838?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:158821838&crl=c&jrnl=16731298,unknown,unknown
城乡心理和生活世界——从齐美尔到舒茨,李继宏,2003.0,5,,3x8V-bqPguAJ,"李继宏 - 人文杂志, 2003",[],,unknown,unknown
经济学中关于“人” 的假定与分析,于凤芹,2013.0,0,,1QW0Za8bLpoJ,"于凤芹 - 山东工商学院学报, 2013",[],,unknown,unknown
基于共同知识考察的信任问题,宋妍， 宋学锋,2012.0,0,,6NSXSpJWbVIJ,"宋妍， 宋学锋 - 江苏社会科学, 2012",[],,unknown,unknown
