title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Social limits to growth,"T Scitovsky, F Hirsch",2005,1,… Much of the book deals with the way in which the increasing scarcity of positional goods … that Hirsch’s preoccupation with the many ways in which the rising shortage of positional goods …,kghW2NtFIcAJ,"T Scitovsky, F Hirsch - 2005 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203982341&type=googlepdf,unknown,unknown
'The economy'as if people mattered: revisiting critiques of economic growth in a time of crisis,CL Spash,2021,243,"… of maintaining access to scarce energy and material supplies for the growth economy. There is … as part of the social LTG by Hirsch (1977). Positional goods are limited by definition, so …",xZxkOyTFGXgJ,"CL Spash - Globalizations, 2021 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/14747731.2020.1761612,unknown,unknown
The treadmill of production and the positional economy of consumption,D Curran,2017,84,"… ” will not be able to afford scarce “private escape routes” from … theory of positional goods than Veblen’s, such as Hirsch (… a “positional economy” rather than specific “positional goods.…",kx8OjVvPPrgJ,"D Curran - Canadian Review of Sociology/Revue canadienne …, 2017 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/cars.12137,unknown,unknown
Evidence of a Scitovsky Stagflation Thesis,DR Hakes,1988,1,… Hirsch's distinction with respect to material and positional … in absolute supply not by physical but by social factors. … Those positional goods that are physically scarce may be thought of as …,xLuCOXFi_ZsJ,"DR Hakes - Review of Radical Political Economics, 1988 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/048661348802000406,unknown,unknown
From bioeconomics to degrowth,M Bonaiuti,2011,150,"… food, but to their relative scarcity. In other words, what is important for positional goods is the … may conclude, contrary to what Hirsch maintained, that not only does the existence of social …",AEVyrCK-fzQJ,M Bonaiuti - 2011 - academia.edu,[],https://www.academia.edu/download/80263811/From_Bioeconomics_to_Degrowth_def.pdf,unknown,unknown
The status struggle: A recognition-based interpretation of the positional economy,R Claassen,2008,34,"… on one’s place in the social structure (social estates), toward … positional goods. The dominance of the market in allocating … ‘social scarcity’ that Fred Hirsch made in his Social Limits to …",M4Gx-gCrJM0J,"R Claassen - Philosophy & Social Criticism, 2008 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0191453708096965,unknown,unknown
Positional goods in the United States and China,"SJ Solnick, L Hong, D Hemenway",2007,82,"… In the past, private automobiles were a negligible contribution to air pollution because they were so scarce. Now car ownership is increasing by 15% each year (Collier, 2000). The …",Ox_5GQHn-gAJ,"SJ Solnick, L Hong, D Hemenway - The Journal of Socio-Economics, 2007 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053535706001211,unknown,unknown
The scare behind energy security: four conceptualisations of scarcity and a never-ending search for abundance,J Kester,2022,10,"… Hirsch points here to the social limits to growth, as more economic growth only increases the size of the positional … economy and thus the competition for these positional goods (ibid.: 6; …",QXVcBN7j6u0J,"J Kester - Journal of international relations and development, 2022 - Springer",[],https://link.springer.com/article/10.1057/s41268-021-00216-0,unknown,unknown
Market failure: Fred Hirsch and the case for social democracy,C Crouch,1983,16,,PMBOyXr0Z90J,"C Crouch - Dilemmas of Liberal Democracies, 1983",[],,unknown,unknown
Unavailability and the evaluation of goods,"TMM Verhallen, HSJ Robben",1995,64,"… The valuation of these positional goods is said to depend not only on intrinsic product … positional or socially scarce goods, as discussed by HIRSCH (1976), might be based on the social …",UW4GmshVqZAJ,"TMM Verhallen, HSJ Robben - Kyklos, 1995 - research.tilburguniversity.edu",[],https://research.tilburguniversity.edu/files/596609/104.pdf,unknown,unknown
