title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The role of entropy in the development of economics,A Jakimowicz,2020.0,140,… economics has accelerated the emergence of modern econophysics and complexity economics… The aim of this paper is to review these relationships over the last 150 years and to point …,qvMaXH1t7McJ,"A Jakimowicz - Entropy, 2020 - mdpi.com",[],https://www.mdpi.com/1099-4300/22/4/452,unknown,unknown
An evolutionary theory of economic interaction—introduction to socio-and econo-physics,"Y Aruka, J Mimkes",2006.0,17,"… This stream symbolically means the rise of econophysics. In orthodox economics, we are only … In the first law of thermodynamics, economic net output Dq is only possible by work or …",OEhiTguNlcIJ,"Y Aruka, J Mimkes - Evolutionary and Institutional Economics Review, 2006 - Springer",[],https://link.springer.com/article/10.14441/eier.2.145,unknown,unknown
Can there be a physics of financial markets? Methodological reflections on econophysics,"TA Huber, D Sornette",2016.0,20,"… and economics has a long history starting well before the emergence of econophysics in the … [53,113], which are organized around a review of econophysics research dealing with …",Nny8KaSC1UkJ,"TA Huber, D Sornette - The European Physical Journal Special Topics, 2016 - Springer",[],https://link.springer.com/article/10.1140/epjst/e2016-60158-5,unknown,unknown
The notion of entropy in an economic analysis: the classical examples and new perspectives,LY Vozna,2016.0,32,"… science, and also by the growing popularity of econophysics. … to ecological economics, whose emergence dates back to the … of a principle of thermodynamics into economic analysis and …",0Dic5B-A5poJ,"LY Vozna - Journal of Heterodox Economics, 2016 - reference-global.com",[],https://reference-global.com/download/article/10.1515/jheec-2016-0001.pdf,unknown,unknown
The thermodynamic approach to market,V Sergeev,,9,"… Literature on econophysics. Since the first pioneer papers by … It is precisely such analysis which we think is of primary … economics emerged, namely, the problems of mathematical …",S0nC3lpX_e4J,"V Sergeev - arXiv preprint arXiv:0803.3432, 2008 - arxiv.org",[],https://arxiv.org/abs/0803.3432,unknown,unknown
Econophysics: a new challenge for financial economics?,"F Jovanovic, C Schinckus",2013.0,53,"… economics and then the emergence of econophysics. By means of a comparative analysis, we … observed in the application of Lévy processes in thermodynamics and finance. However, …",B-AYpMwELsQJ,"F Jovanovic, C Schinckus - Journal of the History of Economic …, 2013 - cambridge.org",[],https://www.cambridge.org/core/journals/journal-of-the-history-of-economic-thought/article/econophysics-a-new-challenge-for-financial-economics/D40FEB5B117576E4C54D80DE5BAFB39B,unknown,unknown
Econophysics and financial economics: An emerging dialogue,"F Jovanovic, C Schinckus",2017.0,90,… between econophysics and financial economics in terms of modeling. Our analysis also … contributed to the emergence of financial economics and of econophysics. The changes on …,EPMSxht3HeYJ,"F Jovanovic, C Schinckus - 2017 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=qK5jDQAAQBAJ&oi=fnd&pg=PP1&dq=econophysics+critique+thermodynamic+limit+economics+emergence&ots=9VA_-otyQr&sig=C4lLa4rxvdQi3zcc-LoM_4ELl54,unknown,unknown
"Equilibrium illusion, economic complexity and evolutionary foundation in economic analysis",P Chen,2008.0,93,… non-predictable uncertainty emerge under nonlinear and social … ’s H theorem of thermodynamic irreversibility. Loschmidt argued … such as seconds in econophysics to several decades in …,1Ec-m6-0iYUJ,"P Chen - Evolutionary and Institutional Economics Review, 2008 - Springer",[],https://link.springer.com/article/10.14441/eier.5.81,unknown,unknown
"Complexity Economics: History, Issues, and Methods",P Chen,2024.0,2,"… The goal of our Handbook is to review the latest … Should we explain the emergence of the EU as a sandpile in EPS or an … models in biophysics and econophysics, which are relevant …",1ijetSLADeYJ,"P Chen - … International Handbook of Complexity Economics, 2024 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9781003119128-9/complexity-economics-ping-chen,unknown,unknown
Physical Factors in Economic Cycle Theory,SI Ternyik,,0,"… rise in the net capital share: accumulation, or scarcity? This paper offers a modern critique … From the perspective of econophysics, economies exhibit statistical properties that can be …",BzdXj0yr-cMJ,"SI Ternyik - Available at SSRN 5032066, 2024 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5032066,unknown,unknown
