title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
物的社会生命,王铭铭,2006,30,"… 以想见,这位人类学家试图从世界各族文化中礼物交换实践蕴涵的“物 … 在另一方面,“礼”读起来像是夸富宴隐含着的“以物品交换声誉” 的原则,… 至于“礼”为中心的有等级交换是怎样起源的? 只关注…",H087C_IfplgJ,"王铭铭 - 社会学研究, 2006 - shehui.pku.edu.cn",[],http://www.shehui.pku.edu.cn/upload/editor/file/20180406/20180406100817_1459.pdf,unknown,unknown
交换的礼物: 艺术人类学视域下“中国红” 之名与实,张颖,2018,0,"… “中国红” 的符号建构和族群认同, 体现了本土与外界器物交换, 技术交换, 制度交换和观念交换的历史成果. 作为文化遗产的“中国红” 也因此包涵两个面向: 一是基于认同的文化统合力; 二是强调…",EUEtDxo7VMoJ,"张颖 - 民族艺术, 2018 - academia.edu",[],https://www.academia.edu/download/62023832/2018.%E6%B0%91%E6%97%8F%E8%89%BA%E6%9C%AF%E7%AC%AC2%E6%9C%9F%E5%86%85%E6%96%87-%E5%BC%A0____%E9%A2%9620200207-107009-1tmlpy9.pdf,unknown,unknown
人类学视野中的礼物世界,王俊杰,2007,3,,zzbSvzta79sJ,"王俊杰 - 云南民族大学学报(哲学社会科学版), 2007",[],,unknown,unknown
从“理性人” 到“文化人”——读马歇尔· 萨林斯的几本著作,翟淑平,2013,1,,jd9TR-5kYSUJ,"翟淑平 - 西北民族研究, 2013",[],,unknown,unknown
伊斯兰教施济的人类学思考,戴嘉艳,2010,4,,_nZg7ri7cqsJ,"戴嘉艳 - 回族研究, 2010",[],,unknown,unknown
亲属关系是什么?——萨林斯与蔡华的分歧,刘宏涛,2016,0,,s2Ob1igeIUsJ,"刘宏涛 - 西南民族大学学报: 人文社会科学版, 2016",[],,unknown,unknown
经济人类学视野中的交换,陈庆德， 潘春梅,2010,7,,5bMWFWVmvrQJ,"陈庆德， 潘春梅 - 民族研究, 2010",[],,unknown,unknown
礼尚往来何以可能——从《 礼物》 看古式社会中的礼物交换现象,席婷婷,2015,0,,H7a_-E2f-IcJ,"席婷婷 - 中央民族大学学报: 哲学社会科学版, 2015",[],,unknown,unknown
漂泊的礼物——从环太平洋地区到法国再到中国,谢燕清,2002,3,,5ft5aaZQIYkJ,"谢燕清 - 民俗研究, 2002",[],,unknown,unknown
何为人类学启蒙? 20 世纪的若干教诲,马歇尔， 萨林斯， 赵旭东,2008,7,,2kKurhsHJgYJ,"马歇尔， 萨林斯， 赵旭东 - 中国农业大学学报: 社会科学版, 2008",[],,unknown,unknown
