title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"面子, 人情的秩序功能及其当下变异",黄金兰,2017.0,4,"… ,“关系,人情,面子是理解 中国社会的关键性的社会文化概念”②. … 参见胡先缙:«中国人的面子观»,黄光国,胡先缙等著:«人情与面子… 秩序产生重要影响;以社会交换方式存在的人情,亦能在实 现社会…",UDbb_8OgQrMJ,"黄金兰 - 文史哲, 2017 - lhp.sdu.edu.cn",[],http://www.lhp.sdu.edu.cn/__local/B/39/31/D982192E904FDA24FA72C6142C1_C7C43BF8_1B453C.pdf,unknown,unknown
華人組織中的人際壓力源: 主位與客位構念之比較.,高鳯霞， 鄭伯壎,2019.0,3,"… 情感關係,如組織相關成員,個人會以人情 法則與之交往(黃光國,… 的面子,對於人情的往來恪守回報 規範,盡可能的維持關係和諧.… 或者對於他人的協助,藉此以換取 獲得他人的回報,建立所謂的互惠…",Vn7vMlac7cQJ,"高鳯霞， 鄭伯壎 - Chinese Journal of Psychology, 2019 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:137634120?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:137634120&crl=c&jrnl=10139656,unknown,unknown
关系网络的建构:私营企业主的行动逻辑——以辽宁省D市为个案*,秦海霞,2006.0,29,"… 以社会关系网络的理论为依据,以本土化的概念如人情,面子,关系… 理性选择理论认为,维持关系网络稳定来自互惠和信任的预期,它… 和国有企业之间的关系是他们同各场域进行交换的资本,是他们…",glnKcX4kdlkJ,"秦海霞 - 社会, 2006 - html.rhhz.net",[],https://html.rhhz.net/society/html/2006-05-05.htm,unknown,unknown
Ingratiation Practices among Chinese from a Guanxi Perspective,曾國權,,0,"… 吸引效能感,[人情]效能感,[面子]效能感和人際關係的關聯. 研究… , 1991; 黃光國,2006) 和社會取 向 (Yang, 1981; 1995) 的社會文化… 和維繫西方的社會 關聯/社會網絡時,規範,信任,價值和互惠等是…",c9ftm6YC4JEJ,曾國權 - researchgate.net,[],https://www.researchgate.net/profile/Kwok-Kuen-Tsang/publication/303880082_guanxililunxiadehuarenfengyingxingwei_Ingratiation_Practices_among_Chinese_from_a_Guanxi_Perspective/links/575a417508ae414b8e440f3d/guanxililunxiadehuarenfengyingxingwei-Ingratiation-Practices-among-Chinese-from-a-Guanxi-Perspective.pdf,unknown,unknown
人情债与人情味: 农村宴席中的关系再生产,王雨磊， 王宁,2012.0,11,,xjbnnm8BXA8J,"王雨磊， 王宁 - 中州学刊, 2012",[],,unknown,unknown
"人情, 面子, 关系: 中国人行动逻辑的建构",常雅慧,2012.0,2,,PGTRzcDVxDYJ,"常雅慧 - 赤峰学院学报: 汉文哲学社会科学版, 2012",[],,unknown,unknown
中国社会人际关系中的社会交换,张志荣， 陈曦,2011.0,0,,49zXT9fSlhQJ,"张志荣， 陈曦 - 大江周刊: 论坛, 2011",[],,unknown,unknown
当前农村人情文化的负面效应和正向功能——以温州农村为例,任映红,2012.0,6,,02U1XKSBzVUJ,"任映红 - 浙江社会科学, 2012",[],,unknown,unknown
论人情── 关于中国人社会交往的分析和探讨,李伟民,1996.0,64,,zSrNi9XV3VYJ,"李伟民 - 中山大学学报: 社会科学版, 1996",[],,unknown,unknown
论人情传统的历史成因及其影响,贺培育， 姚选民,2015.0,1,,1Gpa1wDB06gJ,"贺培育， 姚选民 - 南华大学学报(社会科学版), 2015",[],,unknown,unknown
