title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The original political society,M Sahlins,2017,222,"… having “no social or political hierarchy” or “leaders of any kind,” … , asking protection of one, giving ransom to another, and … of power” amount to a Melanesian Realpolitik : the condition of …",yxg5GVkz1M8J,"M Sahlins - On kings, 2017 - library.oapen.org",[],https://library.oapen.org/bitstream/handle/20.500.12657/30717/643262.pdf?sequence=1#page=40,unknown,unknown
"Big man, anthropology of",R Lederman,2015,17,"… already delicate ethicopolitical balance that successful leaders … point being that local leaders reinforce their local political clout by … Referring to Sahlins’s Melanesian exemplar, the article …",7sC8iPJWKegJ,"R Lederman - International encyclopedia of the social & behavioral …, 2015 - academia.edu",[],https://www.academia.edu/download/37710115/Lederman_2015_Big_Man_IESBS.pdf,unknown,unknown
Big-men in Binumarien,K Hawkes,1978,15,… man who carries out an impre giving an extraordinarily large … Ties based on egocentric connection are fragile because they are of … Sahlins says that leaders in systems of this type are …,KWDP-SjtsyEJ,"K Hawkes - Oceania, 1978 - JSTOR",[],https://www.jstor.org/stable/40330352,unknown,unknown
The death of the big men: Depreciation of elites in New Guinea,K Martin,2010,45,"… the Big Man, as an ‘abstracted sociological type’ (Sahlins … typical portrayal of the Melanesian Big Man as a dispute settler… new elite are supposed to drive, giving a new term that literally …",HVhbnsVDz9oJ,"K Martin - Ethnos, 2010 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/00141840903581576,unknown,unknown
The segmentary lineage: an organization of predatory expansion,MD Sahlins,2022,957,"… and the Chinese, thereby giving a series that ranges from a … American forest, most Melanesian societies, most Siberian … 900,000—coupled with the weak, fragmented polity, certainly …",KsDftZKk9JkJ,"MD Sahlins - Man in Adaptation, 2022 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9780429337949-19/segmentary-lineage-organization-predatory-expansion-marshall-sahlins,unknown,unknown
From primitive to postcolonial in Melanesia and anthropology,B Knauft,1999,188,… These emphasize the giving and receiving of gifts and … of a wider political economy and a lush but fragile environmental … the semblance of larger bodily portraitures for Melanesia. A few …,0UIMgl854dMJ,B Knauft - 1999 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=_lV_EQAAQBAJ&oi=fnd&pg=PP1&dq=Big+Man+achieved+status+generosity+fragile+Melanesia+political+leadership+Sahlins&ots=la4NDtdzwU&sig=cGKaYnkdIMhn-VVO4kA-PDkbKtM,unknown,unknown
On kings,"M Sahlins, D Graeber",2017,79,"… the sense of lordship over large landed estates and their inhabitants, giving them tributary rights to … Or again, this is how important political leaders likewise inform and structure their own …",Llv39R0Vjr0J,"M Sahlins, D Graeber - 2017 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=6cEzEQAAQBAJ&oi=fnd&pg=PR9&dq=Big+Man+achieved+status+generosity+fragile+Melanesia+political+leadership+Sahlins&ots=xNb2zEEkdi&sig=AqAXlE2p5DhV-jAmaz7MOsXsOYU,unknown,unknown
"MEN OF INFLUENCE, MEN OF RANK: LEADERSHIP AND THE GRADED SOCIETY ON ABOA, NEW HEBRIDES.",WL Rodman,1973,24,"… and generous assistance, my raw data on Aoban politics and … Sahlins has contributed to the notion that Melanesian societies … had achieved position in the upper echelons of the Huge …",k9ekVOKN8dgJ,WL Rodman - 1973 - search.proquest.com,[],https://search.proquest.com/openview/f7fa92c3f8b76bdefb52f9163eece53e/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Traditional Leadership in Endogenous Development: A Comparative Study of Ondoafi and Big Man Systems in Papua,"L Ramandei, W Salim, Suhirman…",2026,0,"… and modern leadership support resilience in fragile states [3]. … where leadership is earned through demonstrated generosity… Similarly, in Melanesia, Big Man leadership models continue …",yyNI4SiW2EIJ,"L Ramandei, W Salim, Suhirman… - IOP Conference Series …, 2026 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1755-1315/1594/1/012001/meta,unknown,unknown
Like fire: The Paliau movement and millenarianism in Melanesia,"M French Smith, T Schwartz",2021,15,"… from the politics of locallevel Movement leadership to when … add to the list of anthropological works giving millenarianism … In Chapter 3, we show why forging even fragile unity among …",-nVP3_wEV68J,"M French Smith, T Schwartz - 2021 - library.oapen.org",[],https://library.oapen.org/handle/20.500.12657/50011,unknown,unknown
