title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Post‐Materialism Under Threat: Insecurity and Middle‐Class Value Shifts in East Asia,"SH Lin, TH Lin",2026,0,"… China has shown a modest upward trend in postmaterialist … ratio of materialist to postmaterialist values remained relatively … , and Y002 from the World Values Survey (WVS). The strong …",_jqTDywhKwsJ,"SH Lin, TH Lin - Sociology Compass, 2026 - Wiley Online Library",[],https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/soc4.70210,unknown,unknown
"Is a “silent revolution” in the making in China? Postmaterialist values, and political attitudes and behavior","J Chen, N Huhe, T Yan",2022,10,"… World Values Survey (WVS) and other regional and national … the patterns and trends in postmaterialist values in China, as … higher the level of postmaterialist values; and the correlation …",CDsPRw1x09sJ,"J Chen, N Huhe, T Yan - Asian Survey, 2022 - online.ucpress.edu",[],https://online.ucpress.edu/as/article-abstract/62/2/302/120310,unknown,unknown
"Postmaterialism, generational replacement and value change: An age-period-cohort analysis of the US, Japan, Türkiye and China","MC Tsai, SC Peng",2025,8,"… trend of decrease in postmaterialist values. In contrast, … 3 According to the World Values Survey (WVS), all data used … are quintessentially materialists or postmaterialists, respectively. …",jK1MiYEW63gJ,"MC Tsai, SC Peng - Social Indicators Research, 2025 - Springer",[],https://link.springer.com/article/10.1007/s11205-024-03453-1,unknown,unknown
The cultural consequences of market transition: An empirical examination of rising materialism in twenty-first-century China,Y Cao,2024,23,"… According to Inglehart’s theory of postmaterialism, economic … direct measure of materialism, these two waves contain an … that the trend of rising materialist values in China has continued …",OCzVrq-ApNQJ,"Y Cao - American Sociological Review, 2024 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/00031224241240497,unknown,unknown
Move: How mass migration will reshape the world–and what it means for you,P Khanna,2021,48,"… In day to day life around the world, all these parallel trends … children tend to subscribe to postmaterialist values the most … over the course of the 2020s despite immigration. From Ireland …",wZL8ZoSNcCcJ,P Khanna - 2021 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=b60GEAAAQBAJ&oi=fnd&pg=PT7&dq=China+youth+values+survey+wave+7+postmaterialism+materialist+2020s+trend&ots=B8oDxKStyT&sig=8g__D_zWXpXVtHiIp-UN9sguOvw,unknown,unknown
Move: Where people are going for a better future,P Khanna,2021,8,"… In day to day life around the world, all these parallel trends … postmaterialist values the most significant of which is a focus … over the course of the 2020s despite immigration. From Ireland …",Xa-scdvGBhkJ,P Khanna - 2021 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=DOAYEAAAQBAJ&oi=fnd&pg=PP11&dq=China+youth+values+survey+wave+7+postmaterialism+materialist+2020s+trend&ots=W1PZumTpIQ&sig=lMxx7gl0WvJtMtSiABLr35eOInw,unknown,unknown
Materialism in Chinese college students during 2007–2020: The influence of social change on the inclining trend,"Q Su, Y Liang, J Qiao, J Wang",2025,5,"… -wave longitudinal study of 738 college students in China … success, young people may prioritise materialistic goals. On … from the World Values Survey and the European Values Study …",Lh0AwKCKOe8J,"Q Su, Y Liang, J Qiao, J Wang - International Journal of …, 2025 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.13260,unknown,unknown
"Understanding China: governance, socio-economics, global influence","C Nair, J Randers, J Zhou, FC Dubee",2025,1,"… place in the first half of the 2020s, coinciding with a persisting … and materialist lenses can the world fully understand China … In truth, China has benefited hugely from waves of overseas “…",5__T3IuH7bwJ,"C Nair, J Randers, J Zhou, FC Dubee - 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=4m2QEQAAQBAJ&oi=fnd&pg=PP8&dq=China+youth+values+survey+wave+7+postmaterialism+materialist+2020s+trend&ots=RooeVJyh_p&sig=FIyxggdkkpTxQcCj4mrg__X1BhE,unknown,unknown
Subjective well-being and social media,"SM Iacus, G Porro",2021,29,"… ideas affect or anticipate collective sentiment and trends. This, actually, suggests a second … World Poll, integrated occasionally with other sources, such as the World Values Survey (…",UMWxU1W2tSMJ,"SM Iacus, G Porro - 2021 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=8K-NEQAAQBAJ&oi=fnd&pg=PT9&dq=China+youth+values+survey+wave+7+postmaterialism+materialist+2020s+trend&ots=-52EmyTNIx&sig=FUlJerL5KsRq_Qr2Bvm-JHxbFgc,unknown,unknown
Changing Social Values and Democratization in East Asia: The Self-expression Phenomenon and Citizen Politics in China and Five Confucian Societies …,Z Wang,2005,2,"… shift takes place from materialism to postmaterialism. While … largest cross-cultural value survey data closely correlates with … and beliefs, we might grasp the trends of value changes in a …",0h9Z9w6Ao2IJ,Z Wang - 2005 - researchgate.net,[],https://www.researchgate.net/profile/Zhengxu-Wang-2/publication/34956157_Changing_social_values_and_democratization_in_East_Asia_the_self-expression_phenomenon_and_citizen_politics_in_China_and_five_Confucian_societies_1981-2001/links/0a85e539ada1765b2a000000/Changing-social-values-and-democratization-in-East-Asia-the-self-expression-phenomenon-and-citizen-politics-in-China-and-five-Confucian-societies-1981-2001,unknown,unknown
