title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Chinese social value change and its relevant factors: an age-period-cohort effect analysis,"G Haiyan, W Peng, T Tam",2024,43,"… Focusing on Chinese society, this article uses the multiperiod consolidated data of the World Values Survey from … People younger than 30 years show a higher level of postmaterialist …",oWNcX87r6VAJ,"G Haiyan, W Peng, T Tam - The Journal of Chinese Sociology, 2024 - Springer",[],https://link.springer.com/article/10.1186/s40711-024-00209-9,unknown,unknown
Value differences between generations in China: A study in Shanghai,"J Sun, X Wang",2010,295,… The 1990 World Values Survey demonstrated that … younger generations in China have already shifted from traditional … to identifying generation cohorts in China with a comparison with …,_WsCCPLhQF4J,"J Sun, X Wang - Journal of Youth Studies, 2010 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13676260903173462,unknown,unknown
"Postmaterialism, generational replacement and value change: An age-period-cohort analysis of the US, Japan, Türkiye and China","MC Tsai, SC Peng",2025,8,"… substantial cohort effects in which younger generations embrace postmaterialist values more … 3 According to the World Values Survey (WVS), all data used in this research is nationally …",jK1MiYEW63gJ,"MC Tsai, SC Peng - Social Indicators Research, 2025 - Springer",[],https://link.springer.com/article/10.1007/s11205-024-03453-1,unknown,unknown
"Is a “silent revolution” in the making in China? Postmaterialist values, and political attitudes and behavior","J Chen, N Huhe, T Yan",2022,10,"… World Values Survey (WVS) and other regional and national … proportion of Postmaterialists among the younger cohorts than … , the change in postmaterialist values is generational. In …",CDsPRw1x09sJ,"J Chen, N Huhe, T Yan - Asian Survey, 2022 - online.ucpress.edu",[],https://online.ucpress.edu/as/article-abstract/62/2/302/120310,unknown,unknown
Understanding generational shifts and democratic support in China: value change vs. life satisfaction,"J Chen, N Huhe, Z Lin",2025,0,"… nationwide survey, we identify two major cohorts in China: … in democratic support is driven by younger Chinese’s unique … level of postmaterialist values, ‘among younger cohorts than …",_WGyx6NfKccJ,"J Chen, N Huhe, Z Lin - Journal of Contemporary China, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/10670564.2025.2597751,unknown,unknown
"After postmaterialism: An essay on China, Russia and the United States: A comment",R Inglehart,2016,54,"… the intergenerational shift toward Postmaterialist values and … If younger birth cohorts grow up under substantially higher levels … Using World Values survey data from 78 countries, he has …",d1ecg-6t9TUJ,"R Inglehart - Canadian Journal of Sociology, 2016 - JSTOR",[],https://www.jstor.org/stable/pdf/canajsocicahican.41.2.213.pdf,unknown,unknown
Post‐Materialism Under Threat: Insecurity and Middle‐Class Value Shifts in East Asia,"SH Lin, TH Lin",2026,0,"… As younger, postmaterialist generations raise the next cohort … , E002, and Y002 from the World Values Survey (WVS). The … class may disrupt the postmaterialist value shift in China, we …",_jqTDywhKwsJ,"SH Lin, TH Lin - Sociology Compass, 2026 - Wiley Online Library",[],https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/soc4.70210,unknown,unknown
Media use and postmaterialist values in China and the US: A comparative study,ZJ Liu,2012,8,"… study uses data from the 2005 wave of World Values Survey (… younger generations in China have stronger postmaterialist … groups reflect the effects of birth cohort, rather than the effects …",g3FwDZTaNcAJ,"ZJ Liu - Chinese Journal of Communication, 2012 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/17544750.2012.723384,unknown,unknown
Ideological engineering against a postmaterialist shift: China's pro-democratic but regime-supporting generations,"L Yang, Z Wang",2026,0,"… First, because of the Post-1990’s relatively affluent life experience during formative years, we predict a positive generational effect of the youngest cohort on Democratic …",dsrIRe4EHm0J,"L Yang, Z Wang - Politics, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/02633957251407286,unknown,unknown
Evaluating the challenge of China's crossverging young “Enviro‐Materialists”,"J Dermody, AL Zhao, N Koenig‐Lewis…",2021,21,"… the sustainable consumption of China's older and younger age generations, particularly the … generational cohorts (national subcultures) representing China's historic and current values …",B0cnN0ZIvy4J,"J Dermody, AL Zhao, N Koenig‐Lewis… - Journal of Consumer …, 2021 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/cb.1896,unknown,unknown
