title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Value differences between generations in China: A study in Shanghai,"J Sun, X Wang",2010,295,"… younger generations tend to have more modern values, and (… , the modernization process now occurring in China will have … shown that youth in China have a strong self-expression and …",_WsCCPLhQF4J,"J Sun, X Wang - Journal of Youth Studies, 2010 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13676260903173462,unknown,unknown
Westernised but not yet pro-democracy: the younger generations in China and implications for future leadership,"S Wei, C Juan",2020,16,"… Survey data analysis and case studies in this article have shown that, as predicted by the modernisation theory, China’s younger generations … and stronger self-expression values. They …",1h_WvjD1ANMJ,"S Wei, C Juan - China: An International Journal, 2020 - muse.jhu.edu",[],https://muse.jhu.edu/pub/43/article/751182/summary,unknown,unknown
Modernization as lived experiences: Three generations of young men and women in China,F Liu,2019,42,… study is part of a larger project on three generations of young … on modernization and the transformation of value and … key component of the survival/selfexpression dimension' (p. …,t178KFQmpWIJ,F Liu - 2019 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=MdW8DwAAQBAJ&oi=fnd&pg=PA2002&dq=self-expression+values+China+younger+generation+modernization+survey&ots=IjAMiABHeq&sig=jhyBQ8v6wGKLrSrpk9o4uaYbtJA,unknown,unknown
Changing Social Values and Democratization in East Asia: The Self-expression Phenomenon and Citizen Politics in China and Five Confucian Societies …,Z Wang,2005,2,… modernization results in stronger self-expression values in … of this study asks whether self-expression values affect people’s … stronger self-expression values than older generations. …,0h9Z9w6Ao2IJ,Z Wang - 2005 - researchgate.net,[],https://www.researchgate.net/profile/Zhengxu-Wang-2/publication/34956157_Changing_social_values_and_democratization_in_East_Asia_the_self-expression_phenomenon_and_citizen_politics_in_China_and_five_Confucian_societies_1981-2001/links/0a85e539ada1765b2a000000/Changing-social-values-and-democratization-in-East-Asia-the-self-expression-phenomenon-and-citizen-politics-in-China-and-five-Confucian-societies-1981-2001,unknown,unknown
"The Paradox of Progress: Modernization, Shifting Values, and the Persistence of Authoritarianism in China",HC Wu,2025,2,"… For example, while the desire for more self-expression may … survey data to examine changes in the democratic values of … Instead, the values embraced by the younger generation …",QZKs2A7-YMMJ,"HC Wu - Social Science Quarterly, 2025 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/ssqu.70022,unknown,unknown
The effects of traditional concepts on personal values among university students in China,"J Song, G Sun, R Cai",2022,13,"… its emphasis on self-expression and personal achievement. However, although the … study confirm the proposition that China’s current values shift during the process of modernization …",T0zgYY-u44AJ,"J Song, G Sun, R Cai - Frontiers in Psychology, 2022 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.872768/full,unknown,unknown
Rethinking Modernization and Value Change in China: Moral Decline or Emancipative Shift?,X Gong,2026,4,"… -economic modernization in China, this study contributes to … ” goals such as autonomy, self-expression, and quality of life … a key aspect of Chinese citizenship, younger generations are …",XFMvy0SZHKMJ,"X Gong - Journal of Cross-Cultural Psychology, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/00220221251385541,unknown,unknown
"The Chinese experience of rapid modernization: Sociocultural changes, psychological consequences?","J Sun, AG Ryder",2016,202,"… to older generations, people in the younger generations were … this study demonstrated a shift toward individualistic values, … individualistic values, parenting styles, self-expression norms, …",r3il25KqyGkJ,"J Sun, AG Ryder - Frontiers in psychology, 2016 - frontiersin.org",[],https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.00477/full,unknown,unknown
Understanding generational shifts and democratic support in China: value change vs. life satisfaction,"J Chen, N Huhe, Z Lin",2025,0,"… study contributes to a deeper understanding of China’s prospective political development. Over the past four decades, China’s rapid economic modernization … values as self-expression …",_WGyx6NfKccJ,"J Chen, N Huhe, Z Lin - Journal of Contemporary China, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/10670564.2025.2597751,unknown,unknown
Chinese culture and modernization: testing the value shift hypothesis,ML Gu,1924,19,"… the World Values Survey (WVS) data, this study empirically … values can indeed co-exist with self-expression values. We … and behaviour of the younger generations. They are better …",8Qr5CZp4GMMJ,"ML Gu - Available at SSRN 1924109, 2011 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1924109,unknown,unknown
