title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Ideological engineering against a postmaterialist shift: China's pro-democratic but regime-supporting generations,"L Yang, Z Wang",2026,0,"… The article is structured as follows: First, we review two major … The pivotal role of youth in China’s political future – however … their values from postmaterialist/democratic to materialist/…",dsrIRe4EHm0J,"L Yang, Z Wang - Politics, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/02633957251407286,unknown,unknown
Post‐Materialism Under Threat: Insecurity and Middle‐Class Value Shifts in East Asia,"SH Lin, TH Lin",2026,0,"… Our critique highlights these mechanisms as key directions … fostering postmaterialist cultural change, China experienced a … They point out that values formed in early youth or early …",_jqTDywhKwsJ,"SH Lin, TH Lin - Sociology Compass, 2026 - Wiley Online Library",[],https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/soc4.70210,unknown,unknown
"Postmaterialism, generational replacement and value change: An age-period-cohort analysis of the US, Japan, Türkiye and China","MC Tsai, SC Peng",2025,8,"… the otherwise knotted effects of age, period and cohort in contexts … debate whether postmaterialism or materialism increasingly … The former represents field observation of young …",jK1MiYEW63gJ,"MC Tsai, SC Peng - Social Indicators Research, 2025 - Springer",[],https://link.springer.com/article/10.1007/s11205-024-03453-1,unknown,unknown
"After postmaterialism: An essay on China, Russia and the United States: A comment",R Inglehart,2016,54,… Critics argued that the large age-difference found in 1970 … change: young people naturally prefer Postmaterialist values … from Materialist to Postmaterialist values. A massive body of …,d1ecg-6t9TUJ,"R Inglehart - Canadian Journal of Sociology, 2016 - JSTOR",[],https://www.jstor.org/stable/pdf/canajsocicahican.41.2.213.pdf,unknown,unknown
"Is a “silent revolution” in the making in China? Postmaterialist values, and political attitudes and behavior","J Chen, N Huhe, T Yan",2022,10,"… and origins of postmaterialist values and the impact of those … economic security for postmaterialist values to have developed… of APC analysis, in Models 2 and 3 we include survey period …",CDsPRw1x09sJ,"J Chen, N Huhe, T Yan - Asian Survey, 2022 - online.ucpress.edu",[],https://online.ucpress.edu/as/article-abstract/62/2/302/120310,unknown,unknown
Chinese social value change and its relevant factors: an age-period-cohort effect analysis,"G Haiyan, W Peng, T Tam",2024,43,"… Postmaterialist values are put forward relative to materialist … era of scarcity since the level of material wealth in their youth … Chinese values, such as respect for authority, postmaterialist …",oWNcX87r6VAJ,"G Haiyan, W Peng, T Tam - The Journal of Chinese Sociology, 2024 - Springer",[],https://link.springer.com/article/10.1186/s40711-024-00209-9,unknown,unknown
New evidence of the postmaterialist shift: The experience of Hong Kong,"KY Wong, PS Wan",2009,60,… of Postmaterialist theory to this affluent Chinese society. Our … analysis also revealed that the Materialist/Postmaterialist … that a lopsided majority of young people fall under the mixed …,_e0nWDNHScYJ,"KY Wong, PS Wan - Social Indicators Research, 2009 - Springer",[],https://link.springer.com/article/10.1007/s11205-008-9299-3,unknown,unknown
Why are the young more postmaterialist? A cross-national analysis of individual and contextual influences on postmaterial values,"NDD Graaf, G Evans",1996,171,"… youth and postmaterialism has examined the explanatory role of generation, life cycle, and period effects … change from a materialist society toward a postmaterialist society is dependent …",H1KQgyXNNqcJ,"NDD Graaf, G Evans - Comparative Political Studies, 1996 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0010414096028004005,unknown,unknown
Post-materialism in an environment of insecurity,R Inglehart,1981,1659,"… Since this first exploration of the Materialist/ Post-Materialist … effects, cohort effects and period effects are such that we can … youth and powerlessness of the Clearly, Post-Materialism is …",O9KGegvQ8tgJ,"R Inglehart - American political science review, 1981 - cambridge.org",[],https://www.cambridge.org/core/journals/american-political-science-review/article/postmaterialism-in-an-environment-of-insecurity/8311DFBBB5A039B702176A018394B4AA,unknown,unknown
Postmaterialism and the perceived quality of elections: A study of the moderation effect of a critical event,"G Tang, EW Cheng",2021,26,"… In Hong Kong, the Tiananmen incident in China was an … a postmaterialistic item and 0 for choosing a materialistic item. … ) to run the analysis in Model 8 of Table 4. The moderation …",5GFIDfWGsnYJ,"G Tang, EW Cheng - Social Indicators Research, 2021 - Springer",[],https://link.springer.com/article/10.1007/s11205-020-02599-y,unknown,unknown
