title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Risk, cooperation and the economic origins of social trust: an empirical investigation",R Durante,1576.0,234,… I hypothesize that norms of trust developed in preindustrial … and mutual insurance triggered by the need for subsistence … explanation involving risk sharing and mutual insurance: while …,Fz4GkBFl0YEJ,"R Durante - Available at SSRN 1576774, 2009 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1576774,unknown,unknown
Managing risk through cooperation: Need-based transfers and risk pooling among the societies of the Human Generosity Project,"L Cronk, C Berbesque, T Conte, M Gervais…",2019.0,117,"… need as a result of risk and uncertainty. Because these instances … of needbased sharing systems in subsistence economies. … However, market insurance differs from social risk pooling in …",cFMXwPSCzTwJ,"L Cronk, C Berbesque, T Conte, M Gervais… - Global perspectives on …, 2019 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-15800-2_4,unknown,unknown
Prosocial preferences improve climate risk management in subsistence farming communities,"N Choquette-Levy, M Wildemeersch, FP Santos…",2024.0,17,"… (3) formal risk transfer, whether to purchase index insurance … subject to uncertainty and may indirectly affect which risk transfer … aggregate utility remains at the origin. In this analysis, we …",s0cX4XH7ZRUJ,"N Choquette-Levy, M Wildemeersch, FP Santos… - Nature …, 2024 - nature.com",[],https://www.nature.com/articles/s41893-024-01272-3,unknown,unknown
Solidarity networks in preindustrial societies: Rational peasants with a moral economy,M Fafchamps,1992.0,912,… individual survival is extremely uncertain without some form of … rely on the mutual insurance system for their subsistence.19 … risk pooling can shelter people only against idiosyncratic risk…,-zcb4fW3-AQJ,"M Fafchamps - Economic development and cultural change, 1992 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/452001,unknown,unknown
Uncertainty in the drylands: Rethinking in/formal insurance from pastoral East Africa,"L Johnson, T Shariff Mohamed…",2023.0,33,"… insurance in relation to dynamic social practices and norms … for risk transfer. For instance, the multilateral Access to … do they necessarily provide minimal subsistence for all. For example, …",zxiAnxWSaH0J,"L Johnson, T Shariff Mohamed… - … and Planning A …, 2023 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0308518X231168396,unknown,unknown
Mutual insurance as an elusive concept in traditional rural communities,JP Platteau,1997.0,388,… (consumption smoothing through riskpooling is very effective … deficit with respect to current subsistence needs is absorbed or … are insured are certain events occurring at uncertain dates; …,0DfxS7qdz5QJ,"JP Platteau - The Journal of Development Studies, 1997 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/00220389708422495,unknown,unknown
Prosocial preferences improve climate risk management in subsistence farming communities,"FP Santos, SA Levin, M Oppenheimer, EU Weber",,0,"… (3) formal risk transfer, whether to purchase index insurance … subject to uncertainty and may indirectly affect which risk transfer … aggregate utility remains at the origin. In this analysis, we …",vx7ukFIkC1QJ,"FP Santos, SA Levin, M Oppenheimer, EU Weber - search.proquest.com",[],https://search.proquest.com/openview/9e421d1e5fc7681aebcc2c73b8182ade/1?pq-origsite=gscholar&cbl=6809407,unknown,unknown
Risk sharing between households,M Fafchamps,2011.0,222,"… , each with a variable and uncertain income stream y t i that … Social norms supported by social sanctions are a more … group risk sharing include funeral societies, health insurance …",bRsYYYFt5r8J,"M Fafchamps - Handbook of social economics, 2011 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/B9780444537072000074,unknown,unknown
"Does market integration buffer risk, erode traditional sharing practices and increase inequality? A test among Bolivian forager-farmers","M Gurven, AV Jaeggi, C Von Rueden, PL Hooper…",2015.0,140,"… predictable, sharing may be valued as a type of informal insurance. … Where informal risk sharing networks … to rely less on others to meet their daily subsistence needs (H2). To the …",RPvAgPXiujwJ,"M Gurven, AV Jaeggi, C Von Rueden, PL Hooper… - Human ecology, 2015 - Springer",[],https://link.springer.com/article/10.1007/s10745-015-9764-y,unknown,unknown
Index insurance and the articulation of risk-bearing subjects,L Johnson,2013.0,134,… insurance projects are often the first to make risk pooling … subsistence production and reduce inefficiencies arising from “… places index insurance in an uncertain regulatory environment. …,LAhPlmKnjQYJ,"L Johnson - Environment and Planning A, 2013 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1068/a45695,unknown,unknown
