title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Growing collectivism: Irrigation, group conformity and technological divergence",JC Buggle,2020,134,"… Irrigation agriculture in which coordination was achieved via … fully exploiting irrigation compared to rain-fed agriculture, and … Class (1) contains areas that are suitable for rain-fed agricul…",23Yo39VUlpEJ,"JC Buggle - Journal of Economic Growth, 2020 - Springer",[],https://link.springer.com/article/10.1007/s10887-020-09178-3,unknown,unknown
The wet and the dry: irrigation and agricultural intensification in Polynesia,PV Kirch,1994,474,"… nificance of intensive dryland agriculture, archaeologists have also been guilty of a … but of three additional comparative Polynesian cases. While coordinated applications of ethnography …",zbAU_vy9oIcJ,PV Kirch - 1994 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=WSPxe0S6fS8C&oi=fnd&pg=PR13&dq=irrigated+versus+rainfed+agriculture+cultural+comparison+coordination&ots=66uaTqdtd5&sig=2dFHUXSpL7U0Ruj98ZfhILilUf0,unknown,unknown
Comparative study of the management and organization of irrigation projects,"AF Bottrall, B Mundial",1981,186,"… of closer coordination at project level between the Irrigation … for by highly coordinated planning at the national level. … of developing country agriculture, both rainfed and irrigated. In …",OZNbEba-d1kJ,"AF Bottrall, B Mundial - 1981 - researchgate.net",[],https://www.researchgate.net/profile/Ahmed-Elshaikh-Hayaty/publication/329573912_Performance_Evaluation_of_Irrigation_Projects_Main_References/data/5c103524299bf139c75221bb/Main-Ref.rar,unknown,unknown
Managing water in rainfed agriculture,"J Rockstrom, N Hatlbu, TY Owels, SP Wani",2007,354,… irrigated and rainfed agriculture and to place water Small investments for supplemental irrigation in … are the differences between irrigated and rainfed agriculture. In developing countries …,fDPcFKruyV0J,"J Rockstrom, N Hatlbu, TY Owels, SP Wani - 2007 - oar.icrisat.org",[],https://oar.icrisat.org/id/eprint/5755,unknown,unknown
Supplemental irrigation: A promising climate-resilience practice for sustainable dryland agriculture,"V Nangia, T Oweis",2017,48,"… Regarding statistical analysis (Table 4), there was a significant difference between irrigation … (or the community) in the coordination and management of their limited water resource. …",xvAn5nrl3ogJ,"V Nangia, T Oweis - Innovations in dryland agriculture, 2017 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-47928-6_20,unknown,unknown
"Global review of institutional reforms in the irrigation sector for sustainable agricultural water management, including water users' associations","AHA Gany, P Sharma, S Singh",2019,103,"… This paper attempts to provide a global comparative review, … productivity from irrigated areas compared to rainfed areas. … functioning and lack of coordination between agency personnel …",-vIK7fcpCBAJ,"AHA Gany, P Sharma, S Singh - Irrigation and drainage, 2019 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/ird.2305,unknown,unknown
Managing water in rainfed agriculture—The need for a paradigm shift,"J Rockström, L Karlberg, SP Wani, J Barron…",2010,1048,"… irrigation infrastructure are required to successfully apply supplemental irrigation in rainfed agriculture… m 3 , even though small in comparison to irrigation storage, require planning and …",Jp7iQTPDE88J,"J Rockström, L Karlberg, SP Wani, J Barron… - Agricultural Water …, 2010 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378377409002789,unknown,unknown
"Large-scale irrigation impacts socio-cultural values: an example from rural Navarre, Spain","A Albizua, U Pascual, E Corbera",2019,36,"… Likewise, the regional government, coordinated with other Spanish … adoption and laboured land area, we found significant differences … Full-time farmer with irrigated and rainfed crops). …",Ni-NWze6-LYJ,"A Albizua, U Pascual, E Corbera - Ecological economics, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0921800918309091,unknown,unknown
Irrigation practices: peasant-farming settlement schemes and traditional cultures,"WM Clark, MGR Varma, RA Yates",1986,6,"… (ii) The clear need for irrigation although rain-fed farming is possible. (iii) The long cultural … V4 governs the excavation required per bench hectare, differences are a result of …",ishpNctczb4J,"WM Clark, MGR Varma, RA Yates - … Transactions of the Royal Society of …, 1986 - JSTOR",[],https://www.jstor.org/stable/37504,unknown,unknown
Rainwater harvesting agriculture: an integrated system for water management on rainfed land in China's semiarid areas,"F Li, S Cook, GT Geballe, WR Burch Jr",2000,239,"… , irrigated agriculture is usually carried out. In a large area of the region receiving a mean annual rainfall of over 300 mm, rainfed farming … and 102% as compared with nonirrigated trees. …",gpqCBelLQIIJ,"F Li, S Cook, GT Geballe, WR Burch Jr - AMBIO: A Journal of the Human …, 2000 - BioOne",[],https://bioone.org/journals/AMBIO-A-Journal-of-the-Human-Environment/volume-29/issue-8/0044-7447-29.8.477/Rainwater-Harvesting-Agriculture--An-Integrated-System-for-Water-Management/10.1579/0044-7447-29.8.477.short,unknown,unknown
