title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Culture–gene coevolution, norm-psychology and the emergence of human prosociality","M Chudek, J Henrich",2011,1144,"… and norm-psychology ensure that new migrants to those groups conform to these norms (… take-home point from this review is that cultural evolution, increasingly reinforced by norm-…",G8-AydDs6JUJ,"M Chudek, J Henrich - Trends in cognitive sciences, 2011 - cell.com",[],https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(11)00038-6,unknown,unknown
On modeling cognition and culture: Why cultural evolution does not require replication of representations,"J Henrich, R Boyd",2002,390,… and normative routes to conformity: the effect of faction size as a function of norm extremity and attention to the stimulus. Journal of Personality & Social Psychology 57(3):457-468. …,M2jsJtd7pJAJ,"J Henrich, R Boyd - Journal of cognition and culture, 2002 - brill.com",[],https://brill.com/view/journals/jocc/2/2/article-p87_1.xml,unknown,unknown
The evolution of conformist transmission and the emergence of between-group differences,"J Henrich, R Boyd",1998,1651,"… At a cultural evolutionary level, we want to know how beliefs and values are transmitted … transmission creates a directional force that tends to establish and maintain cultural norms. …",tlFjD3iIJtAJ,"J Henrich, R Boyd - Evolution and human behavior, 1998 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S109051389800018X,unknown,unknown
Rapid cultural adaptation can facilitate the evolution of large-scale cooperation,"R Boyd, PJ Richerson, J Henrich",2011,256,"… , we have argued that cultural evolution can facilitate the evolution of largescale cooperation … periods of human evolution prior to the emergence of self-enforcing norms and our current …",w8AnGxV77ScJ,"R Boyd, PJ Richerson, J Henrich - Behavioral ecology and sociobiology, 2011 - Springer",[],https://link.springer.com/article/10.1007/s00265-010-1100-3,unknown,unknown
Why people punish defectors: Weak conformist transmission can stabilize costly enforcement of norms in cooperative dilemmas,"J Henrich, R Boyd",2001,1181,"… In this paper, we present a cultural evolutionary model in which norms for cooperation and … (Asch, 1951), and confounds normative conformity (going with the popular choice to avoid …",RW2oqT2qb-sJ,"J Henrich, R Boyd - Journal of theoretical biology, 2001 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0022519300922021,unknown,unknown
Five misunderstandings about cultural evolution,"J Henrich, R Boyd, PJ Richerson",2008,585,"… Putting these expressions into standard replicator dynamics gives us … Attractors are different from conformity, and both are different from prestige-based imitation (see Richerson and …",dapSlbbmcDUJ,"J Henrich, R Boyd, PJ Richerson - Human Nature, 2008 - Springer",[],https://link.springer.com/article/10.1007/s12110-008-9037-1,unknown,unknown
Game theory in cultural evolution,J Henrich,2021,6,"… interaction between genetic and cultural evolution, there’sa … genetic and cultural inheritance streams (Boyd and Richerson… , norms and strategies associated with honor cultures. Recent …",ClyBQi1gzjAJ,"J Henrich - Nobel Symposium, 2021 - henrich.fas.harvard.edu",[],https://henrich.fas.harvard.edu/sites/g/files/omnuum5811/files/2025-01/Henrich_GameTheoryinCulturalEvolution_0.pdf,unknown,unknown
Culture and the evolution of human cooperation,"R Boyd, PJ Richerson",2009,1839,"… Losers will be socialized by conformity or punishment, so … that cumulative cultural evolution creates a novel evolutionary … coevolved with culturally transmitted social norms. Initially, …",Lu5yPSwkUtMJ,"R Boyd, PJ Richerson - … Transactions of the Royal Society B …, 2009 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC2781880/,unknown,unknown
The evolution of cultural evolution,"J Henrich, R McElreath",2003,1658,"… cultural learning: success and prestige bias and conformity … Extending Boyd and Richerson’s7 original model, Henrich and … in norms to evolve the association between norms and …",CYhkl4-t7DYJ,"J Henrich, R McElreath - Evolutionary Anthropology: Issues …, 2003 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/evan.10110,unknown,unknown
Power in cultural evolution and the spread of prosocial norms,N Cofnas,2018,19,"… According to cultural evolutionary theory in the tradition of Boyd and Richerson, cultural evolution is driven by … Henrich describes this study as an “experimental demonstration of …",Rm-793STcAoJ,"N Cofnas - The Quarterly Review of Biology, 2018 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/700767,unknown,unknown
