title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The origin of the state: Land productivity or appropriability?,"J Mayshar, O Moav, L Pascali",2022,216,"… of agriculture led to complex hierarchies and states? Why did … , we also contest that surplus is the mechanism that links … hunter-gatherers, but this disparity is easily explained by the …",8oTcYVDf_yIJ,"J Mayshar, O Moav, L Pascali - Journal of Political Economy, 2022 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/718372,unknown,unknown
The origins of enduring economic inequality,"S Bowles, M Fochesato",2024,35,… Morgan lens of an agricultural surplus) include Alberto Alesina … evolution of inequality may be affected by hierarchical orderings … that that level of inequality or surplus production will be …,H2QDWBDuSwMJ,"S Bowles, M Fochesato - Journal of Economic Literature, 2024 - aeaweb.org",[],https://www.aeaweb.org/articles?id=10.1257%2Fjel.20241718&,unknown,unknown
Social inequality at the origins of agriculture,TD Price,1995,142,"… of hierarchical societies, is the institutionalization of inequality, … adopt agriculture as a means for producing food surpluses and … of a few Big Men who encourage the creation of surplus. …",QXvy7f3vIqMJ,"TD Price - Foundations of social inequality, 1995 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4899-1289-3_5,unknown,unknown
Inequality and wealth creation in ancient history: Malthus' theory reconsidered,"S Svizzero, C Tisdell",2014,27,… agricultural settlements with surpluses above subsistence. … that agriculture provides the preconditions for the state formation. … surpluses to form divisions of labor and a social hierarchy …,kpeaiJzLDPoJ,"S Svizzero, C Tisdell - 2014 - espace.library.uq.edu.au",[],https://espace.library.uq.edu.au/view/UQ:338538,unknown,unknown
The emergence of hierarchies and states: Productivity vs. appropriability,"J Mayshar, O Moav, Z Neeman…",2018,12,"… that surplus is neither necessary nor suffi cient for agriculture … that rely on roots and tubers, hierarchical complexity never … and with the emergence of inequality and hierarchy. Semi*…",_cz-ynbtCzYJ,"J Mayshar, O Moav, Z Neeman… - Working Paper, Hebrew …, 2018 - warwick.ac.uk",[],https://warwick.ac.uk/fac/soc/economics/staff/omoav/mmnp9_1_2018.pdf,unknown,unknown
"Surplus, storage and the emergence of wealth: pits and pitfalls",C Darmangeat,2020,16,… stress that the origin of economic inequalities must be studied … development of wealth inequalities and political hierarchies; in … surplus theory presents pertains to the idea that …,XVLctbR_FVcJ,"C Darmangeat - Social inequality before farming. Multidisciplinary …, 2020 - shs.hal.science",[],https://shs.hal.science/halshs-03047887/document,unknown,unknown
The origins of governments: from anarchy to hierarchy,"M Baker, E Bulte, J Weisdorf",2010,24,"… degree of hierarchy, admit a degree of inequality among … a selfish ruler maximizing its own surplus. The tradeoff for the … society, and the contribution of agriculture to the food supply.…",BrMeEV3YswIJ,"M Baker, E Bulte, J Weisdorf - Journal of Institutional Economics, 2010 - cambridge.org",[],https://www.cambridge.org/core/journals/institutional-economics/article/origins-of-governments-from-anarchy-to-hierarchy/7CC35392108BC38E19182B7AEAEE4059,unknown,unknown
Agriculture and the Onset of Political Inequality before the Inka,CA Hastorf,1993,274,"… nature and origin of political inequality, Agriculture and the … for the formation of hierarchy: (1) inequality is formed and … ture, agriculture, population, trade, warfare, surplus production, or …",JEHocqgGmksJ,CA Hastorf - 1993 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=v3c6AAAAIAAJ&oi=fnd&pg=PP17&dq=agriculture+surplus+inequality+hierarchy+state+formation+origins&ots=RAsLe5qpXS&sig=EzVjknP-N3TJNCgNrwQJwuBb19A,unknown,unknown
The Origin of the State: Land Productivity or Appropriability?,L Pascali,2022,2,"… is unlikely to generate a surplus, as conventional theory … hunter-gatherers, but this disparity is easily explained by the … data on the location of centers of origin of agriculture. We show that …",_w8C63roSmQJ,"L Pascali - Journal of Political Economy, 2022 - academia.edu",[],https://www.academia.edu/download/80084947/mmp_10_aug_2021_1_.pdf,unknown,unknown
"Energy, hierarchy and the origin of inequality",B Fix,2019,33,"… they imply that inequality arose during the transition to agriculture. … In agrarian societies, the energy surplus of farmers is too … But if the surplus grew, it could loosen these limits and allow …",MJ93GbZPTMIJ,"B Fix - PLoS One, 2019 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215692,unknown,unknown
