title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The origins and diversity of axial age civilizations,SN Eisenstadt,2012,936,"… SN EISENSTADT on the rationalization of these world religions.2 Jasper's original insight into the Axial Age, concisely presented in his ""Vom Ursprung und Ziel der Geschichte,"" was …",ggb5U-7IHGoJ,SN Eisenstadt - 2012 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=WsUKbgh_A1YC&oi=fnd&pg=PP1&dq=Axial+Age+Jaspers+civilizations+Eisenstadt&ots=WZHHD6Q-cc&sig=aDqABA4zsdvWe2wbWcPanOtXj7o,unknown,unknown
The axial age: the emergence of transcendental visions and the rise of clerics,SN Eisenstadt,1982,483,"… Jasper's original insight into the axial age, concisely … in most of the great pre-axialage civilizations (11) was based on … In these post-axial-age civilizations, there developed first a strong …",X9X5UvarMB4J,"SN Eisenstadt - … Journal of Sociology/Archives européennes de …, 1982 - cambridge.org",[],https://www.cambridge.org/core/journals/european-journal-of-sociology-archives-europeennes-de-sociologie/article/axial-age-the-emergence-of-transcendental-visions-and-the-rise-of-clerics/3084C3FB09C7A72A73D69B7F61CA1AF8,unknown,unknown
The meaning of the axial age,B Wittrock,2005,93,"… in the analysis of Alfred and Max Weber, Karl Jaspers and SN Eisenstadt or be they the formative moment of a new era in late eighteenth century Europe in the analysis of Reinhart …",f9FR2awQlK0J,"B Wittrock - Axial civilizations and world history, 2005 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=safeKKJTpYwC&oi=fnd&pg=PA51&dq=Axial+Age+Jaspers+civilizations+Eisenstadt&ots=OUgymW4pan&sig=22X0EjIr94OXa85ofO_Hr1sGUGI,unknown,unknown
The Axial Age and its interpreters: Reopening a debate,JP Arnason,2005,75,"… For Jaspers, ”the spiritual process” of the Axial Age is an empirically … of Eisenstadt’s view on the Axial Age, we can turn to the introduction to the 1986 volume on axial civilizations; some …",5LWb-FgMXe0J,"JP Arnason - Axial civilizations and world history, 2005 - brill.com",[],https://brill.com/downloadpdf/display/book/edcoll/9789047405788/B9789047405788_s005.pdf,unknown,unknown
The Axial Age in world history,B Wittrock,2015,13,"… of Axial thought, Jaspers and, even more so, later interpreters such as Bellah and Eisenstadt … designation Axial Age and the identification of those civilizations where this first occurred as …",mJn2hDzATHUJ,"B Wittrock - The Cambridge, 2015 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=LAFuCAAAQBAJ&oi=fnd&pg=PT62&dq=Axial+Age+Jaspers+civilizations+Eisenstadt&ots=1-nzKeroZ1&sig=mS3olu0uZ906VEfFVL7o67lLOHA,unknown,unknown
Axial Visions and Axial Civilizations: The Transformations of World Histories between Evolutionary Tendencies and Institutional Formations,SN Eisenstadt,2009,18,"… by Karl Jaspers, of an"" Axial Age"", a conception which was imbued with a strong, even if only implicit, evolutionary orientation or premise. 2 In this conception the Axial Age was …",hiEwjX3-HE8J,"SN Eisenstadt - Frontiers of sociology, 2009 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=dO55DwAAQBAJ&oi=fnd&pg=PA113&dq=Axial+Age+Jaspers+civilizations+Eisenstadt&ots=yg-nubgZdK&sig=ShN6BqkmDWrx5wU_3_lzOrroYtg,unknown,unknown
The axial age and modernity: From max weber to Karl Jaspers and Shmuel Eisenstadt,V Cotesta,2017,11,"… , Jaspers and Eisenstadt on the issue of the axial age and modernity. For Weber Modernity is an “axial age” … ” because it took place in the West and only after in these three civilizations. …",gmTCT_xQynwJ,"V Cotesta - ProtoSociology, 2017 - protosociology.de",[],http://www.protosociology.de/Rubrum/Cotesta-Axial%20Age.pdf,unknown,unknown
World religions and the theory of the axial age,J Assmann,2012,10,… axial age as put forward by Karl Jaspers in 1949 and elaborated since then especially by Shmuel Eisenstadt … The Axial Age is generally understood as an evolutionary achievement of …,i-8u_piUwMwJ,"J Assmann - Dynamics in the History of Religions between Asia and …, 2012 - JSTOR",[],https://www.jstor.org/content/pdf/oa_chapter_edited/10.1163/j.ctv2gjwzzh.20.pdf?acceptTC=true&coverpage=false&addFooter=false,unknown,unknown
The Axial Age and Multiple Modernities: Philosophical Reflections on the Universal Claims of European Civilization,H Schelkshorn,2023,3,"… , Eisenstadt and Habermas both dissolve Jasper’s differentiation between the Axial Age and the period of the post-axial … Despite this remarkable consensus, Eisenstadt and Habermas …",89quwrNrg64J,"H Schelkshorn - Civilization, Modernity, and Critique, 2023 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003275046-12&type=chapterpdf,unknown,unknown
Axial age,EJ Ziolkowski,2011,4,"… Jaspers formulated his theory in conjunction with … Axial Age theory “contrasts with the traditional, possibly more plausible thesis that not until Western Christian civilization” (a civilization …",PEv1lJjjwMUJ,EJ Ziolkowski - 2011 - academia.edu,[],https://www.academia.edu/download/55615377/EBR-Ziolkowski-Axial_Age-vol._3-2011.pdf,unknown,unknown
