title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The sociological problem of generations,K Mannheim,1952,1143,… Only where contemporaries definitely are in a position to participate as an integrated group in certain common experiences can we rightly speak of community of location of a generation…,cQy2rdc87nYJ,"K Mannheim - Essays on the Sociology of Knowledge, 1952 - academia.edu",[],https://www.academia.edu/download/40435007/01_The_Sociological_Problem.pdf,unknown,unknown
Mannheim's sociology of generations: an undervalued legacy,J Pilcher,1994,1521,"… formative experiences. This requirement set their age range at approximately seventeen to the upper twenties. Since this age band was of primary significance, and due to the research …",0AYjNIl29yUJ,"J Pilcher - British Journal of sociology, 1994 - JSTOR",[],https://www.jstor.org/stable/591659,unknown,unknown
Making meaning of crisis: Unpacking crisis consciousness and response through Mannheim's generational theory,D Fietz,2025,2,"… as a sociology of problem translation. Next, I will provide a detailed rereading of Mannheim’s texts, focusing on the interplay between The Problem of Generations and his early cultural …",p3k5SaMqIj4J,"D Fietz - Journal of Classical Sociology, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/1468795X251394255,unknown,unknown
The “problem of generations” revisited: Karl Mannheim and the sociology of knowledge in international relations,DM McCourt,2012,59,"… Mannheim’s essay, which stresses the importance of formative experiences and shared … The aim of this chapter then has been to suggest that Mannheim’s work on generations, viewed …",eazgqSbpijkJ,"DM McCourt - … application of the “generation” in international relations …, 2012 - Springer",[],https://link.springer.com/chapter/10.1057/9781137011565_3,unknown,unknown
"Generation, generationality, generational research",U Jureit,2017,17,"… the study of generations. Karl Mannheim's 1928 essay ""The Problem of Generations"" is still … was among their formative experiences of socialization, which set them apart from the …",L2ZUaCByJGsJ,"U Jureit - Dokserver des Zentrums für Zeithistorische Forschung …, 2017 - academia.edu",[],https://www.academia.edu/download/85843933/docupedia_jureit_generation_v2_en_2017.pdf,unknown,unknown
The time of generations,M Corsten,1999,582,… feature of Mannheim's differential view of generations becomes clear when we look at how he solves the problem of the emergence of a background of generational experience in terms …,PzaN8ho87w0J,"M Corsten - Time & Society, 1999 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0961463X99008002003,unknown,unknown
Outline of a theory of generations,"R Eyerman, BS Turner",1998,774,"… generation has had little refinement and application in recent sociology. After reviewing the literature, this article modifies Mannheim's … the comparative study of generations. To this end, …",xIgB14ga-1wJ,"R Eyerman, BS Turner - European Journal of Social Theory, 1998 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/136843198001001007,unknown,unknown
Sociology and the problem of 'social generations',J Bristow,2024,17,"… Karl Mannheim, whose 1928 essay ‘The problem of generations’(… generations, and the emergence of a shared consciousness within them. This was the problem that Mannheim …",Tv0jH9zRAD0J,"J Bristow - Studying generations, 2024 - library.oapen.org",[],https://library.oapen.org/bitstream/handle/20.500.12657/87170/1/9781529223507.pdf#page=32,unknown,unknown
Beyond Mannheim: Conceptualising how people 'talk'and 'do'generations in contemporary society,"V Timonen, C Conlon",2015,107,"… Although this article discusses Mannheim's conceptualisation of generation, his concepts are not the reference points or ‘scaffolding’ that the analysis was originally ‘hung’ on. Rather, …",TImj1PSHma8J,"V Timonen, C Conlon - Advances in life course research, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1040260815000167,unknown,unknown
Mannheim and the sociological problem of generations: Events as inspiration and constraint,V Vinitzky-Seroussi,2016,3,"… I am my hero because he took our historical position seriously. No less importantly, … Mannheim portrays the way I think and work; he acknowledges the role of experiences, …",gHrbKgNnVlwJ,"V Vinitzky-Seroussi - The Ashgate research companion to …, 2016 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315613208-11&type=chapterpdf,unknown,unknown
