title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Hoping for the best in education: Globalisation, social imaginaries and young people",S Sellar,2013,32,"… Margaret Mead’s analysis of the generation gap … prefigurative culture as public spheres are replaced by interconnected, individual atmospheres. Postfigurative and cofigurative cultures …",YlRGGU33p7IJ,"S Sellar - Social Alternatives, 2013 - search.informit.org",[],https://search.informit.org/doi/abs/10.3316/informit.821958816662191,unknown,unknown
The New Social Contract Between Generations: Profiguration,F Molina-Luque,2025,4,"… with Mead's (2019) classification of cultural transmission in societies into postfigurative, cofigurative and prefigurative cultures, alongside a generational rupture identified by Mead as …",ffkwB9FUsvQJ,F Molina-Luque - 2025 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=WA5ZEQAAQBAJ&oi=fnd&pg=PT10&dq=Mead+prefigurative+cofigurative+postfigurative+culture+generation&ots=8BEGuGli6a&sig=dPTXnp5xbWhviQvV1iFyO2W48hY,unknown,unknown
Sociological perspectives on identity formation: The culture–identity link and identity capital,JE Côté,1996,993,… pre-modern societies are postfigurative cultures in which the … in the cofigurative culture is widened in the prefigurative one. … the prefigurative socialization mechanisms Mead postulated …,Bv5jAcr0s0YJ,"JE Côté - Journal of adolescence, 1996 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0140197196900408,unknown,unknown
Culture and Commitment: A Study of the Generation Gap,C Du Bois,1971,5,"… In this unique prefigurative culture there has been a drastic … this then not a cofigurative stage (or as Mead would say-culture)? … , to use Mead's terms, may be conceived as postfigurative …",QsRp1uvCh3IJ,"C Du Bois - 1971 - JSTOR",[],https://www.jstor.org/stable/671840,unknown,unknown
Reconfiguring Relationships with the Young Supermodernity: Theorising Margaret Mead Post 9/11,K Maguire,2015,0,"… conceptualised such tensions with her figuration of generations/cultures (see Fig. 3.1), … post figurative upbringing, with its tolerated cofigurative components, and discover prefigurative …",qSefH5dy6csJ,"K Maguire - Margaret Mead: Contributions to Contemporary …, 2015 - Springer",[],https://link.springer.com/chapter/10.1007/978-94-017-9309-4_3,unknown,unknown
Vol18# 1_Community Education and Prefigurative Society,RT Fruehling,1979,0,"… constitute the traditional culture for the next generation. In Culturt and Commitment, Margaret Mead describes three cultural systems-postfigurative, cofigurative, and prefigurative-and …",vc64A9yvagYJ,RT Fruehling - 1979 - scholarspace.manoa.hawaii.edu,[],https://scholarspace.manoa.hawaii.edu/bitstreams/998667ed-f5ac-4914-b34a-5fdc907c3b1e/download,unknown,unknown
Tantalizing Questions,KE Boulding,1970,0,"… are—post-figurative, co-figurative, and pre-figurative, which … Mead detects what we call the pre-figurative culture, in which the rate of change is so great that only the younger generation …",Va2wj2ij0iEJ,KE Boulding - 1970 - JSTOR,[],https://www.jstor.org/stable/26443588,unknown,unknown
The prefigurative culture of Margaret Mead or the eternal problem of generation gap,"D Saparova, A Kanagatova",2018,3,"… of social and cultural experience can be represented as formation of its three types – postfigurative, cofigurative and prefigurative. Giving a definition to all three types of culture, she …",ddnaZxFLMI4J,"D Saparova, A Kanagatova - Eurasian Journal of …, 2018 - bulletin-religious.kaznu.kz",[],https://bulletin-religious.kaznu.kz/index.php/relig/article/view/186,unknown,unknown
“GENERATION ME-GENERATION WE”: PARADOXES OF PREFIGURATIVE CULTURE IN THE POST-SOVIET SPACE,ES Zh,2022,3,"… An American cultural anthropologist, Mead distinguished between three main types of culture, … way of passing knowledge from generation to generation: Post figurative, cofigurative, and …",WQ4LMu6QHSAJ,"ES Zh - Gumilyov Journal of History, 2022 - cyberleninka.ru",[],https://cyberleninka.ru/article/n/generation-me-generation-we-paradoxes-of-prefigurative-culture-in-the-post-soviet-space,unknown,unknown
WHAT IS LOST AND WHAT IS GAINED: THE CONFLICT BETWEEN GENERATIONS AND THE INHERITANCE OF CULTURE IN THE INHERITANCE OF LOSS,M Martins,2011,0,"… forebears, cofigurative, in which both children and adults learn from their peers, and prefigurative, … Postfigurative culture is passed down through generations although minor changes do …",5I7KOKAEWVYJ,"M Martins - International Journal of Arts & Sciences, 2011 - search.proquest.com",[],https://search.proquest.com/openview/854986940217ba766a7f62186d0c3315/1?pq-origsite=gscholar&cbl=626342,unknown,unknown
