title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
从符号学观点看公孙龙的兼名独立性思想,曾祥云,2013,0,"… 也认为,“惠施, 公孙龙的名辩,亦不过是祖述墨辩逻辑的一支”[4] … 论》所申述的“白马非马”论题,使公孙龙在历史上 成为众矢之的,成了… ,公孙龙之论“白马非马”,完全是在名称的提及意义上使用“白马” …",jcWJxj28pAEJ,"曾祥云 - 湖北大学学报(哲学社会科学版), 2013 - semiotics.net.cn",[],http://www.semiotics.net.cn/userfiles/images/beb98c6cd77dee716b116ee9a62846ff.pdf,unknown,unknown
论“白马非马” 的语义学价值,陈玮,2009,0,,iVw2cS7nJ8QJ,"陈玮 - 内蒙古农业大学学报: 社会科学版, 2009",[],,unknown,unknown
中国古代逻辑的创始人公孙龙论纲,王永祥,2007,1,,3qrw5ireK30J,"王永祥 - 邯郸学院学报, 2007",[],,unknown,unknown
“白马非马” 纯属诡辩吗?——对公孙龙《 白马论》 一文的逻辑思想剖析,周云之,1979,1,,3DlUvaJiqP0J,"周云之 - 江西师范大学学报: 哲学社会科学版, 1979",[],,unknown,unknown
名家辩术思想的超越性品质,郭桥,1997,0,,0-FD7BqyYdoJ,"郭桥 - 社会科学辑刊, 1997",[],,unknown,unknown
"坚其不坚, 白其不白——从《 坚白论》 看公孙龙的辩证思想",鱼戏溪,2015,0,,9InChGOjRzAJ,"鱼戏溪 - 长安学刊, 2015",[],,unknown,unknown
浅议中国古代逻辑学的缺陷,刘睿,2014,0,,qdnmvv7bVMYJ,"刘睿 - 北方文学: 下, 2014",[],,unknown,unknown
论《 公孙龙子》 思想体系的结构,林恒森,1994,0,,lOBPT8Hm2qUJ,"林恒森 - 中国哲学史, 1994",[],,unknown,unknown
《 公孙龙子· 指物论》 之“指”——从系动词的观点看,李巍,2009,0,,r394ltgIU1cJ,"李巍 - 北京青年政治学院学报, 2009",[],,unknown,unknown
“对语言作为语言自身的兴趣”——读伯纳德· S· 所罗门先生近作《 论中国古代名家》,江向东,2014,0,,vUdve13yCjkJ,"江向东 - 国外社会科学, 2014",[],,unknown,unknown
