title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
先秦名学发展的两条路向,张涅,2018,0,"… 》所载惠施“历物十事”,辩者“二十一 事”为代表,后者在《墨经》《荀子·正名》中最为典型.由感性经验到… 司马谈《论六家要指》肯定名家“其正名实,不可不察也”,也都指示了这一点.由“名份”到 “名实”,是名…",ETZy1PKh3EoJ,"张涅 - 哲学研究, 2018 - semiotics.net.cn",[],http://www.semiotics.net.cn/userfiles/images/90d99781b9e68f387d785ad9032a3997.pdf,unknown,unknown
先秦“名” 学派别及发展阶段,张茂泽,2006,0,,eB_Hkxd7JoYJ,"张茂泽 - 人文杂志, 2006",[],,unknown,unknown
"先秦“名实论” 的源流, 旨趣, 内容及定位——先秦人文主义语言哲学思想发微",周光庆,2013,1,,-IdBAAqWva0J,"周光庆 - 宝鸡文理学院学报: 社会科学版, 2013",[],,unknown,unknown
先秦名实观散论,徐阳春,1992,0,,gbJFSpw7Q6sJ,"徐阳春 - 绍兴文理学院学报: 哲学社会科学版, 1992",[],,unknown,unknown
从荀子正名理论的文化诠释看先秦名辩思想的社会文化性,张美玲， 张晓芒， 关兴丽,2014,0,,SqdtcKNQUz0J,"张美玲， 张晓芒， 关兴丽 - 江淮论坛, 2014",[],,unknown,unknown
杜国庠的先秦名实观,周柏红,2009,0,,c99brEfuOPkJ,"周柏红 - 哈尔滨学院学报, 2009",[],,unknown,unknown
先秦名论: 认知-思辨论和伦理-权术论,李葆嘉,2010,0,,86KJe_9GoN4J,"李葆嘉 - 南京师范大学文学院学报, 2010",[],,unknown,unknown
试论先秦的名实魏晋的言意之辩,赵保东,1994,0,,Br6fahOtd9kJ,"赵保东 - 唐都学刊, 1994",[],,unknown,unknown
正名思想的历史衍化与哲学意蕴,吴晓番,2012,0,,vrtTnZXHOs4J,"吴晓番 - 思想与文化, 2012",[],,unknown,unknown
论伍非百的正名思想,余维发,2010,0,,rlZdS7XIs80J,"余维发 - 重庆邮电大学学报: 社会科学版, 2010",[],,unknown,unknown
