title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
略论《 墨辩》“辩” 的谬误,张斌峰,2000,2,,zLp81ciL5fYJ,"张斌峰 - 江汉论坛, 2000",[],,unknown,unknown
论墨经逻辑的价值,许锦云,2003,3,,Kpz_DSn4X7wJ,"许锦云 - 职大学报, 2003",[],,unknown,unknown
试论墨辩逻辑的特点,颜华东,1992,2,,GGs6T7lMkCsJ,"颜华东 - 甘肃理论学刊, 1992",[],,unknown,unknown
论墨辩逻辑学体系的产生,庄春波,1999,0,,f0xo7xVX2ugJ,"庄春波 - 管子学刊, 1999",[],,unknown,unknown
从墨辩看逻辑的理论和应用,孙中原,2007,0,,twXoBmq4HeoJ,"孙中原 - 重庆工学院学报, 2007",[],,unknown,unknown
论鲁胜《 墨辩注· 叙》 的逻辑思想,卢芸蓉， 陈灵,2016,0,,GpWRhS4wQQIJ,"卢芸蓉， 陈灵 - 贵州工程应用技术学院学报, 2016",[],,unknown,unknown
论墨经逻辑的文字学研究,杨武金,2007,0,,xtE-h7RIanYJ,"杨武金 - 职大学报, 2007",[],,unknown,unknown
关于《 墨辩》 的逻辑推论与中国古代思维方式,赵继伦， 张通明,1990,0,,9mm1QzVHGqMJ,"赵继伦， 张通明 - 宁夏大学学报: 人文社会科学版, 1990",[],,unknown,unknown
《 墨辩》 中的词语释义问题,张联荣,1999,0,,BOJbZuju30sJ,"张联荣 - 北京大学学报: 哲学社会科学版, 1999",[],,unknown,unknown
大学逻辑教育中的中国名辩学,郭桥,2015,0,,OKFiAg3dOYMJ,"郭桥 - 中国大学教学, 2015",[],,unknown,unknown
