title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
惠施[歷物十事] 與[墨經] 關係之檢討,李威寰,2012,1,"… 本文以《莊子》書中記載的惠施[歷物十事],與<經上>,<經下>, <經… 惠施以此為大,觀於天下而曉辯者,天下之辯者相與樂之……辯者… 前文說過,惠施之所以重視[萬 物畢同畢異],並非如字面上那樣重視…",Bu9oHq1mCZwJ,"李威寰 - 中國文學研究, 2012 - cl.ntu.edu.tw",[],https://www.cl.ntu.edu.tw/uploads/root/%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%A0%94%E7%A9%B6/33-1.pdf,unknown,unknown
"冯友兰, 张岱年关于惠施评述的异同辨析",杨华,2017,0,"… 中关于庄子和惠施的关系,因为属于思想上的差异,所以本文在下一章中… 起来,叫做“辩名析理”(此语见郭象《庄子注》的《天下篇注》) [1] 第十九章 ,… 冯先生还将惠施的“合同异”与后期墨家进行了比较.…",E6cFR2ZsmrAJ,"杨华 - 重庆大学学报(社会科学版), 2017 - qks.cqu.edu.cn",[],http://qks.cqu.edu.cn/html/cqdxskcn/2017/3/20170315.htm,unknown,unknown
庄惠之辩与惠施“历物十事” 关系论,徐飞,2009,0,,ZLDFGcX4lbIJ,"徐飞 - 社会科学论坛: 学术研究卷, 2009",[],,unknown,unknown
惠施研究的新收获——评杨俊光著《 惠学锥指》,桑叶,1992,0,,M-kA39lu0K8J,"桑叶 - 南京大学学报: 哲学. 人文科学. 社会科学, 1992",[],,unknown,unknown
惠施“历物” 名学思想的自然哲学基础,乔旭， 翟锦程,2006,1,,VLRnXU_2VZkJ,"乔旭， 翟锦程 - 郑州大学学报(哲学社会科学版), 2006",[],,unknown,unknown
《 庄子· 天下篇》 与“庄子· 惠施篇”,甄长松,1991,0,,beJ5VAixsEsJ,"甄长松 - 淮北师范大学学报: 哲学社会科学版, 1991",[],,unknown,unknown
辩者二十事选释,杨俊光,1990,0,,uwbdwCjQumoJ,"杨俊光 - 南京大学学报: 哲学. 人文科学. 社会科学, 1990",[],,unknown,unknown
“惠施十事” 新解读,陈坚,2000,1,,OUNcYm96-WMJ,"陈坚 - 江南社会学院学报, 2000",[],,unknown,unknown
惠施“合同异” 之辩发微,黄克剑,2008,2,,P0aazEI1UF8J,"黄克剑 - 哲学研究, 2008",[],,unknown,unknown
《 天下篇》 辩者命题研究,张荣明,2017,0,,ADsU7VBf1VQJ,"张荣明 - 南开学报: 哲学社会科学版, 2017",[],,unknown,unknown
