title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
黑暗的閘門: 中國左翼文學運動研究,夏濟安,2016.0,2,"… 波又一波對被批判迫害 的作家的平反,讓人們更願意把從前的一些… 著裏佔上重要的位置,一直都被描述為左翼文學運動中絕 對成功的… 他所採用的評價標準包括洞察力,感 受力,對人生的獨到見解,…",uBcZW4GAzH4J,夏濟安 - 2016 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=tTa8DgAAQBAJ&oi=fnd&pg=PR7&dq=%E5%90%8D%E8%BE%A9%E5%AD%A6+%E4%B8%AD%E7%BB%9D+%E8%AF%A1%E8%BE%A9+%E5%B9%B3%E5%8F%8D+%E4%B8%AD%E5%9B%BD%E9%80%BB%E8%BE%91%E5%8F%B2+%E8%AF%84%E4%BB%B7&ots=oIo1h06zRr&sig=cvFLQNte-XMMG7xkP4Z1LosiMF0,unknown,unknown
新中国成立以来党的历史上具有深远意义的伟大转折,薛庆超,2019.0,0,"… ,除非有 大规模外敌入侵,绝不能动摇和干扰这个中心. 在新形势下,… 在平反冤假错案的历史进程 中,人们在“十年内乱”中长期受到… 研究中 心主席班邦·苏尔约诺这样评价中国:“与全 球分享中国的…",hk8sBJnGoqMJ,"薛庆超 - 郑州轻工业学院学报(社会科学版), 2019 - m.mmm2012.com",[],https://m.mmm2012.com/info/_upload/article/files/dd/38/1140db8c4ac0a71c697179885bab/a60b769f-a04a-42c0-aa76-938200cb37e5.pdf,unknown,unknown
哲学和物理学,方励之,1989.0,0,"… 考察中外古代絕大多數宇宙理論都把[最高]的天穹看作一個堅硬不變… ,詭辯論冒充爲辯 證法.在這種逆流猖獗的情況下,研究宇宙… 的地位和意義,應當給予確當 的評價.[批判]者避而不談大爆炸宇宙…",YRuRcXYlebgJ,方励之 - 1989 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=WyRYDwAAQBAJ&oi=fnd&pg=PP4&dq=%E5%90%8D%E8%BE%A9%E5%AD%A6+%E4%B8%AD%E7%BB%9D+%E8%AF%A1%E8%BE%A9+%E5%B9%B3%E5%8F%8D+%E4%B8%AD%E5%9B%BD%E9%80%BB%E8%BE%91%E5%8F%B2+%E8%AF%84%E4%BB%B7&ots=jjH_nquvWX&sig=50I_UO_59ZDaXQVnTfjltXpzi0w,unknown,unknown
"A Specter of Yin Hai-kuang: Kuo Song-fen's"" Autumn Rain"" and His Conversions in the 1970s.",C Chih-wei,2022.0,0,"… 時批評他無助於改善社會,如此反覆的評價 所折映的,似乎是郭自己在… 上愛莫能助;儘管不屑權貴青年的詭辯,大概也只能不 置一詞. … 然而比起為殷海光平反(正面肯 定殷氏的說法已經非常多),這裡…",RKjMfzSCf_cJ,"C Chih-wei - Tsing Hua Journal of Chinese Studies, 2022 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:160520387?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:160520387&crl=c&jrnl=05779170,unknown,unknown
逻辑的名辩化及其成绩与问题,晋荣东,2011.0,5,,Xso3z4Bfa_sJ,"晋荣东 - 哲学分析, 2011",[],,unknown,unknown
"梁启超关于名辩, 逻辑与因明的比较",孔漫春， 郭桥,2016.0,0,,2RH9xL8y3KoJ,"孔漫春， 郭桥 - 华北水利水电大学学报: 社会科学版, 2016",[],,unknown,unknown
忧时之学: 论章太炎的墨学三变,何爱国,2016.0,0,,Ru1yoUvFQNMJ,"何爱国 - 历史教学问题, 2016",[],,unknown,unknown
论索隐派伪书《 论语辨》 及学问分际的问题,李淳玲,2005.0,0,,LR1Lxu5qjeYJ,"李淳玲 - 国际汉学, 2005",[],,unknown,unknown
史学与政治——美国,陈茂华,2005.0,3,,mEqwvFmk5aoJ,"陈茂华 - 史学理论研究, 2005",[],,unknown,unknown
"Broken but Failed to Stand, Haste Brought no Success: Scientific Critical Activities Carried out in China from 1950s to 1970s",H HU,,0,,DNjFWYtMCDEJ,H HU - Studies in the History of Natural Sciences - Beijing Zhongke Journal Publising …,[],,unknown,unknown
