title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Paradoxes in the School of Names,C Fraser,2020,17,"… As we will see, many of the paradoxes associated with the School of Names twist … paradox” conflates predication with identity in the same way as Gongsun Long’s white horse paradox…",U7b6JCftDCsJ,"C Fraser - Dao companion to Chinese philosophy of logic, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-29033-7_16,unknown,unknown
"A logical perspective on"" Discourse on white-horse""",Y Fung,2007,27,"… the so-called paradoxes mentioned by Gongsun Long in a sensible … ’s argument as based on a special kind of theory of classes, “… why Gongsun Long regards “white horse” as a name of …",fH2I-hD08QoJ,"Y Fung - Journal of Chinese Philosophy, 2007 - researchgate.net",[],https://www.researchgate.net/profile/Yiu-Ming-Fung/publication/264339763_A_logical_perspective_on_Discourse_on_white-horse/links/61f3b5225779d35951dd1fac/A-logical-perspective-on-Discourse-on-white-horse.pdf,unknown,unknown
The School of Names,"L Indraccolo, C Shei, Z Lu",2023,0,"… is ascribed an eponymous Gongsun Longzi (Master Gongsun Long… most famous paradox in the Chinese tradition, the ‘white horse’ … about language philosophy and logic in early China.) …",S3WVQgLF2mQJ,"L Indraccolo, C Shei, Z Lu - 2023 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/entry-versions/download?identifierName=doi&identifierValue=10.4324/9780367565152-RECHS25-1&type=webpdf,unknown,unknown
Reinterpreting Gongsun Longzi and critical comments on other interpretations,CY Cheng,2007,17,"… As an intelligent analytical philosopher, he could produce a paradox for us to tackle … white horse to a black horse or nonwhite horse? Apparently it is difficult to do so simply on logical …",cz4Klhves7gJ,"CY Cheng - Journal of Chinese Philosophy, 2007 - brill.com",[],https://brill.com/view/journals/jcph/34/4/article-p537_6.xml,unknown,unknown
Gottlob Frege and Gongsun Long in Dialogue: An Exploration of Two Classical Paradoxes from the East and West,"N Dolcini, C Penco",2023,1,"… “horse” and “white horse” are treated as names referring to … s and Gongsun Long’s paradoxes cannot be solved by logical … paradox, we advance a tentative reading of the white horse …",BLN6222FriEJ,"N Dolcini, C Penco - Asian Studies, 2023 - journals.uni-lj.si",[],https://journals.uni-lj.si/as/article/view/11334,unknown,unknown
The White Horse Paradox and Inheritance Logic,M López-Astorga,2025,0,"… thought that Gongsun Long presented the paradoxical version … Here, I comment on some possible accounts related to logic, … ‘School of Names and mental possibilities: is a white horse a …",0zXBFqJABUsJ,"M López-Astorga - Acta Baltica Historiae et Philosophiae Scientiarum, 2025 - ceeol.com",[],https://www.ceeol.com/search/article-detail?id=1368734,unknown,unknown
Textual Criticism of the: The Daozang and Shuofu editions,L Indraccolo,2013,5,… The Gongsun Longzi 公孫龍子 is infamous for its … brand of paradoxical—and apparently nonsensical—reasoning in … off ” the white (bu li 不離) holds that if there is a white horse—if we …,RqV0e8GnTNUJ,"L Indraccolo - T'oung Pao, 2013 - brill.com",[],https://brill.com/view/journals/tpao/99/4-5/article-p249_1.xml,unknown,unknown
"Standards and Reference in Early Chinese Philosophy of Language: Mohist Concepts, Practices, and Texts",S Blake,2025,0,"… illuminate the wordplay and paradoxes in other thinkers of … language and logic from the first flourishing of Chinese thought. … , like “a white horse is not a horse,” as Gongsun Long (公孫龍…",x2Qs3D7oHO4J,S Blake - 2025 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=XJ-UEQAAQBAJ&oi=fnd&pg=PP1&dq=School+of+Names+ancient+Chinese+logic+Gongsun+Long+white+horse+paradox&ots=-4ng7_35qj&sig=PlzAZXYiDI_0xj6uXkMDJoTMtJ8,unknown,unknown
A Study of Argumentation Structure in English and Classical Chinese Texts,SY Zhou,2009,0,"… to a methodological paradox as Mary Garrett points … white horses, therefore no horses are white horses. In the records of the school of Mingjia, one of its representatives, Gong-sun Long …",1FwyMzMMoB8J,SY Zhou - 2009 - rave.ohiolink.edu,[],https://rave.ohiolink.edu/etdc/view?acc_num=miami1250787901,unknown,unknown
Cross-Tradition Engagement in Philosophy: A Constructive-Engagement Account,B Mou,2020,32,"… Account of Names in Early China"" to the anthology volume … , and its semantic-paradox-resolving dimension, regarding which … Gongsun Long's ""double-reference"" thought in treating the ""…",JGc4wNsnC7oJ,B Mou - 2020 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=J0XcDwAAQBAJ&oi=fnd&pg=PA2025&dq=School+of+Names+ancient+Chinese+logic+Gongsun+Long+white+horse+paradox&ots=JTa0L4vF4I&sig=Kr3D-X9lcaE9vxiYa7VQz_lMW3s,unknown,unknown
