title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
合法性的思维历程: 从韦伯到哈贝马斯,张康之,2002,72,"… 借助这种文化统治权为其暴力强 制提供合法性, 使之成为被积极同意的权力.因此在 发达国家中, … 性被 看作是不受现有舆论或命令与服从关系支配的.在后来 契约论的合法性概念中, 合法的权力…",Ch9JnnFi69UJ,"张康之 - 教学与研究, 2002 - jxyyj.ruc.edu.cn",[],http://jxyyj.ruc.edu.cn/CN/abstract/abstract13151.shtml,unknown,unknown
"从臣民到市民: 韦伯著作中的城市类型学, 城市的动态演变与非正当性支配研究",潘梓旸,2023,0,"… 国家必须通过暴力手段来维系自身对 内对外的绝对权力支配,这种… 独立性以及对整个“正当性支配” 的作用:“惟一重要的是那些服从超 … 在形式合法的意义上来源于采邑权力的合法性授 予,但韦伯(…",wwcOMspU56AJ,"潘梓旸 - 社会杂志, 2023 - society.shu.edu.cn",[],https://www.society.shu.edu.cn/EN/abstract/abstract19624.shtml,unknown,unknown
政治正当性解释范式的演化历程,戴木才， 彭隆辉,2012,0,"… 所谓权力,是指能够支配和控制他人 行为的^种能力,马克斯·韦伯… 韦伯认为,由权力和服从构成的 每^个统治系统的存在,都取决于它… 所谓正当性,就是使 人们服从某种权力的动机,故任何群体服从…",0iW7Z_Ej-8UJ,"戴木才， 彭隆辉 - 伦理学研究, 2012 - llx.hunnu.edu.cn",[],https://llx.hunnu.edu.cn/CN/abstract/abstract1347.shtml,unknown,unknown
在经验与规范之间: 合法性理论的二元取向及意义,胡伟,1999,105,,vV44BZ5ke18J,"胡伟 - 学术月刊, 1999",[],,unknown,unknown
政权合法性理论及其论证方式——兼论威权政体的合法性问题,张维垲,2010,0,,xAJTFkhwMDQJ,"张维垲 - 发展研究, 2010",[],,unknown,unknown
权威合法化与现代国家的正当统治,陈秀萍， 郇兴艳,2009,0,,4Uey6zJQx4kJ,"陈秀萍， 郇兴艳 - 广西政法管理干部学院学报, 2009",[],,unknown,unknown
论政治合法性的构成要素,伍俊斌,2011,4,,vHsXZe00_d8J,"伍俊斌 - 理论与现代化, 2011",[],,unknown,unknown
权力结构与合法性基础,张志海,2004,0,,4k4k7xxPeOoJ,"张志海 - 理论文萃, 2004",[],,unknown,unknown
"马克思主义权力观和韦伯, 福柯权力观比较",曲广娣,2016,0,,LdDnSA8s3Q8J,"曲广娣 - 清江论坛, 2016",[],,unknown,unknown
论现代国家权力的合法性,李寿初,2010,6,,LbEi4GzVALIJ,"李寿初 - 江南: 诗, 2010",[],,unknown,unknown
