title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
On violence,H Arendt,1970,8294,"… does not distinguish among such key words as ""power,"" ""strength… Power, strength, force, authority, violence-these are but words to … serves as a means of coercion, should be reserved, in …",NcjmhkRjM-0J,H Arendt - 1970 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=V7DqDwAAQBAJ&oi=fnd&pg=PT3&dq=Arendt+power+violence+distinction+legitimacy+coercion+authority&ots=fG_FcvTsDT&sig=i93qKLKEc4sh-fiTFyIfOtfhZD0,unknown,unknown
Authority and Violence,F Carlà-Uhink,2025,0,"… authority,"" the most flagrant manifestation of power""(Arendt … difference and shifts, authority’s “hallmark is unquestioning recognition by those who are asked to obey; neither coercion …",bALHKbAJxCQJ,"F Carlà-Uhink - A Cultural History of Violence in Antiquity, 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=882PEQAAQBAJ&oi=fnd&pg=PA75&dq=Arendt+power+violence+distinction+legitimacy+coercion+authority&ots=QuLcGgTMLI&sig=5TJWalHMQFsCvJ-WjnjpF28RiVQ,unknown,unknown
Reflections on violence,H Arendt,1969,511,"… Arendt is university professor of political philosophy at the … Since the end of human ac tion, in distinction from the end … This seems legitimate because Sartre in his Foreward says as …",QUDXY1mIMuMJ,"H Arendt - Journal of International Affairs, 1969 - JSTOR",[],https://www.jstor.org/stable/24356590,unknown,unknown
'Bioshock Infinite'and the Phenomenon of Legitimate Violence: An Analysis Based on the Contributions by Hannah Arendt,"VJG Vital, F da Silva Cardoso",2019,3,"… , of how violence is the weapon of a government without authority, … , violence is understood as obedience through coercion, … Thus, although there is a difference of prestige between the …",2V_LHiPiQ_cJ,"VJG Vital, F da Silva Cardoso - … -Revista Internacional de …, 2019 - repositorio.redalas.net",[],https://repositorio.redalas.net/sites/default/files/2024-04/175061257-127439190-document.pdf,unknown,unknown
"Transitional justice, recognition, and authoritative power",A Oettler,2017,11,"… relationships of power exist, with varying forms of coercion, … by Gisela Uellenberg and revised by Arendt). She noted that … He suggests that authority is a form of power associated with …",vo7AQueC6cEJ,A Oettler - 2017 - JSTOR,[],https://www.jstor.org/stable/pdf/resrep07669.pdf,unknown,unknown
Hannah Arendt's communications concept of power,"J Habermas, T McCarthy",1977,1048,"… The only alternative to coercion (Zwang) exercised by one … permits the occupants of positions of authority to make binding … In this respect, Arendt would not draw any distinction even …",RGZcVEfHMloJ,"J Habermas, T McCarthy - Social research, 1977 - JSTOR",[],https://www.jstor.org/stable/40970268,unknown,unknown
Legitimacy by Way of “Eternal” Justice: Kojève's Philosophy of Authority from an Arendtian Perspective,B Ovcharuk,2026,0,"… The sheer difference in length might suggest that Authority offers … Arendt fundamentally disagree over the idea of just authority … true for Arendt, for whom the violence of coercive means is …",YjOlDtdgXK8J,"B Ovcharuk - Kojève and Law, 2026 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003464075-11&type=chapterpdf,unknown,unknown
"Constituent Power, Violence, and the State: The Political Thought of Georges Sorel, Walter Benjamin, and Hannah Arendt",D Vouros,2024,0,… conflates the authority of law with a monopoly on violence: … We touched on the difference between modern and … means of coercion at its disposal and is always the locus of violence. For …,t8b4pnfiekUJ,D Vouros - 2024 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=biUrEQAAQBAJ&oi=fnd&pg=PT8&dq=Arendt+power+violence+distinction+legitimacy+coercion+authority&ots=9f1Jukdemy&sig=6gufez9eOwwOZL9eekWXzThKfwY,unknown,unknown
The idea of violence,CAJ Coady,1986,234,"… Arendt once complained that the careless use in political theory of such key terms as ‘power’, ‘strength’, ‘force’, ‘authority’ and ‘violence… distinguish violence from force and from coercion…",pXR0BYrmTpYJ,"CAJ Coady - Journal of Applied Philosophy, 1986 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-5930.1986.tb00045.x,unknown,unknown
"On law, power and violence: from Christoph Menke to Hannah Arendt. A critical analysis",V Fabbrizi,2017,1,"… such as “violence”, “power”, “force”, “coercion” and “authority”, … Power belongs to people and draws its legitimacy from this … can distinguish two basic arguments on law and violence. …",KAtuwsNFhtYJ,"V Fabbrizi - Philosophy kitchen, 2017 - art.torvergata.it",[],https://art.torvergata.it/handle/2108/217520,unknown,unknown
