title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Conceptual metaphor theory,Z Kövecses,2016.0,505,"… metaphors, ie linguistic expressions used metaphorically, … Grady proposed a number of such metaphors in his … reanalysed several of the conceptual metaphors in Lakoff and Johnson’s …",K6P_ehGlEqIJ,"Z Kövecses - The Routledge handbook of metaphor and …, 2016 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9781315672953-11/conceptual-metaphor-theory-zolt%C3%A1n-k%C3%B6vecses,unknown,unknown
Conceptual Metaphor,Z Hu,2023.0,2,"… Lakoff and Mark Johnson published the book Metaphors We … human conceptual systems are metaphorically constructed … Therefore, we have “on balance” and “the weight of the …",5yk0OAKv_-cJ,"Z Hu - Metaphor and Cognition, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-981-99-3852-0_7,unknown,unknown
Extended conceptual metaphor theory,Z Kövecses,2020.0,1091,"… on “primary metaphors"" (on ""primary metaphors,"" see Grady (… metaphors, ie, linguistic expressions used metaphorically, and … Following Lakoff and Johnson, we would not hesitate to …",dB7UbsLwTWkJ,Z Kövecses - 2020 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=5HzUDwAAQBAJ&oi=fnd&pg=PR8&dq=conceptual+metaphor+importance+is+weight+primary+metaphor+Grady+Lakoff&ots=KZRIy6H4Yo&sig=Gj_QTFDavH4xehtmgVC8O9tci3U,unknown,unknown
Metaphors in expert and common-sense reasoning,S Richardt,2003.0,43,"… model to bear considerable descriptive weight. A representation of … journalists recur to the same conceptual metaphors, we have … –in this article Lakoff and Johnson's metaphor theory -…",t72Otg-tk8YJ,"S Richardt - Text, context, concepts, 2003 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=iakLM-Ch94YC&oi=fnd&pg=PA243&dq=conceptual+metaphor+importance+is+weight+primary+metaphor+Grady+Lakoff&ots=nR7tn-8Uxl&sig=XLbje8FHcNMhWhRc4K2G9DPCkbo,unknown,unknown
Novel metaphor and conceptual stability,H Martins,2006.0,13,"… We assume here, as Grady, Oakley & Coulson do (p. 101-2), … to Lakoff s idea that entirely novel conceptual metaphors are … If one is inclined, as I am, to yield to the weight of these …",0kZN5uEvOwUJ,"H Martins - DELTA: Documentação de Estudos em Lingüística …, 2006 - SciELO Brasil",[],https://www.scielo.br/j/delta/a/73pNWZSF7vbTTHtHLxqrx7N/?lang=en,unknown,unknown
Rethinking metaphor,"G Fauconnier, MB Turner",2008.0,818,… Lakoff and Johnson's conceptual metaphor theory and Grady's (1997) approach in terms of primary metaphors. … Perhaps the accumulated mass of the past gathered there is pulling time …,Vc9o4BEO0kwJ,"G Fauconnier, MB Turner - 2008 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1275662,unknown,unknown
Neural social science,G Lakoff,2012.0,34,"… We metaphorically think of achieving a purpose as reaching a destination—a goal, and … These are just a handful of ways in which embodied conceptual metaphors de fi ne central …",mh5Nimi7OLwJ,"G Lakoff - Handbook of neurosociology, 2012 - Springer",[],https://link.springer.com/chapter/10.1007/978-94-007-4473-8_2,unknown,unknown
Reviewing imagery in resemblance and non-resemblance metaphors,"JM Ureña, P Faber",2010.0,71,"… Strictly speaking, according to Grady’s classification, marine … metaphor also entails a physical aspect motivation: the mass-… Lakoff and co-workers as a fleeting, ad hoc kind of metaphor …",4hwzSU4QeVEJ,"JM Ureña, P Faber - 2010 - academia.edu",[],https://www.academia.edu/download/51230559/Reviewing_Imagery_in_Resemblance_and_Non20170106-588-hob8uh.pdf,unknown,unknown
14 Blending and metaphor,"JE Grady, T Oakley, S Coulson",,0,"… grimness, but, as Lakoff & Turner point out, … mass and, on the other, affective states associated with exertion–then we can talk about tons of work. If a cheery disposition is metaphorically …",HxBm6nAnF5YJ,"JE Grady, T Oakley, S Coulson - The Cognitive Linguistics Reader - utppublishing.com",[],https://utppublishing.com/doi/pdf/10.3138/9781845531102#page=434,unknown,unknown
Figurative language understanding in LCCM Theory.,V Evans,2010.0,174,"… George Lakoff and Mark Johnson, the proponents of the … We saw above, for instance, that metaphorically true assertions … more than a few hundred primary metaphors (Grady pc), much …",hjcI71uLetsJ,"V Evans - Cognitive linguistics, 2010 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:54970850?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:54970850&crl=c&jrnl=09365907,unknown,unknown
